#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	2.03161015852	36	2	9
Gbp7	NM_001083312|NM_145545	0.0	0	0	0
Arrdc1	NM_001162485|NM_178408|NR_027876	96.19068742	1265	16	280
Ercc5	NM_011729	0.191555727484	6	2	0
Mrpl15	NR_033530|NM_025300|NM_001177658	41.3315449525	1006	34	83
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	11.7469472345	124	48	18
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	128.505963247	6109	0	8
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	1.08290495493	3	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.0	0	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	1.90297348436	69	2	0
St7	NM_022332|NM_001083315	13.8019718125	233	0	0
Gga1	NM_145929	0.0	0	0	0
AW549877	NM_145930	0.0	0	0	0
Stac2	NM_146028	63.3297775724	1506	82	39
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	0.362540578316	11	4	0
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	0.0	0	0	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	22.8535710608	73	0	0
Snord87	NR_004410	29.2431274749	14	0	0
Nek2	NM_010892	159.611798056	3753	415	433
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	30.14593987	1403	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	0.0662738527875	3	0	0
Arfgef1	NM_001102430	4.47978142646	244	35	0
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	4.48837419092	172	11	43
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	159.13220984	4541	1	10
Coro7	NM_030205	0.0	0	0	0
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.0664666943473	1	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	2.73762938488	129	11	13
Tmem180	NM_029186	0.0	0	0	0
Zcchc4	NM_030185	3.57613835018	54	0	0
Rasd2	NM_029182	0.325516862832	7	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0315699920987	1	0	0
Usp54	NM_030180	23.5315072624	1155	33	46
Spata2L	NM_030176	0.0	0	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	0.822572599355	60	0	1
Mios	NM_145374	47.919678192	1384	219	144
Gm5523	NR_004447	0.0	0	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	0.165224326001	4	0	1
Tnrc6a	NM_144925	8.85694499172	588	0	0
Npr1	NM_008727	0.0	0	0	0
Serpine2	NM_009255	5.64017338032	88	0	30
Gamt	NM_010255	0.1349750893	1	0	0
Serpina3m	NM_009253	0.0	0	0	0
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	0.0	0	0	0
Ahr	NM_013464	0.0	0	0	0
Gla	NM_013463	5.38924179017	126	0	0
Adrb3	NM_013462	0.0	0	0	0
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.0	0	0	0
Herpud1	NM_022331	0.0	0	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	23.7021295977	304	4	41
