#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.201302482855	9	0	2
Gbp7	NM_001083312|NM_145545	7.53593945302	801	132	197
Arrdc1	NM_001162485|NM_178408|NR_027876	0.451464071455	15	1	3
Ercc5	NM_011729	0.95881516043	76	16	10
Mrpl15	NR_033530|NM_025300|NM_001177658	60.4047093817	3704	203	257
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0289264105229	3	0	1
Tssc4	NM_001115085|NM_020285|NM_138631	3.08014937813	84	10	9
Gm101	NM_001115074	0.0405616394723	2	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	7.86983800641	939	1	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.305077232123	1	0	0
Gm14347	NM_001085543	0.144324684045	1	0	0
Dpys	NM_022722|NM_001164466	92.303600758	4011	101	231
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	3.54545578505	107	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	4.30092748065	395	6	11
St7	NM_022332|NM_001083315	0.21121039108	9	0	0
Gga1	NM_145929	5.27882576934	315	17	85
AW549877	NM_145930	3.58599701598	358	46	82
Stac2	NM_146028	0.0	0	0	0
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	2.66019245928	202	2	69
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0418183803065	2	0	0
Phf7	NM_027949	0.718701577454	28	1	1
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	16.015776074	128	0	2
Snord87	NR_004410	0.688177494556	1	0	0
Nek2	NM_010892	0.101349831402	6	0	0
Sult1b1	NM_019878	18.3831593112	940	0	0
Nfatc3	NM_010901	1.95183315495	231	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	2.9926940611	362	1	3
Arfgef1	NM_001102430	0.764735932371	105	4	7
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	6.28812261789	627	275	90
4930528F23Rik	NM_029197	1.56991781932	53	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.131081683007	6	0	0
Ythdf2	NM_145393	7.75096745442	557	3	0
Coro7	NM_030205	6.79634613347	466	71	8
Tmem51	NM_145402	0.818293668604	30	4	4
Tapbpl	NM_145391	13.8494080539	527	2	113
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	8.75499594425	1042	52	172
Tmem180	NM_029186	0.603060945876	27	3	2
Zcchc4	NM_030185	0.794051168951	30	1	0
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0210220031765	1	0	0
Clip4	NM_175378|NM_030179	0.0251172336983	2	0	1
Usp54	NM_030180	0.073063425929	9	0	1
Spata2L	NM_030176	5.22089678853	244	19	5
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	2.28570258568	418	6	82
Mios	NM_145374	1.01052889594	74	6	5
Gm5523	NR_004447	3.38525841374	61	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	11.5822800751	817	143	3
Tnrc6a	NM_144925	0.39039264239	65	0	0
Npr1	NM_008727	5.28669428454	422	0	72
Serpine2	NM_009255	8.17045604278	322	84	1
Gamt	NM_010255	111.776360289	2072	0	0
Serpina3m	NM_009253	1632.33626996	44161	784	1231
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	9201.1615964	266323	9	60
Ahr	NM_013464	4.14799131021	448	11	59
Gla	NM_013463	10.3027433787	607	18	0
Adrb3	NM_013462	0.0182267313461	1	0	0
Adra1a	NM_013461	5.85941070699	476	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.0	0	0	0
Herpud1	NM_022331	239.519655223	8800	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	17.2385113902	556	31	30
Trip6	NM_011639	0.925911870167	32	5	1
Rpl4	NM_024212	356.972359221	8396	210	506
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.00943058357234	1	0	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	0.0	0	0	0
Tysnd1	NM_027912	3.60886811433	162	4	21
Cd276	NM_133983	5.89997863368	369	0	0
Kazn	NM_144531|NM_001109684|NM_001109685	0.0284151653703	2	0	0
Gm4956	NR_002858	0.133080491366	3	0	0
Mlh3	NM_175337	0.347136115135	37	3	3
Gtf2e2	NM_001167921|NM_026584|NM_001167922	15.0804174683	459	1	21
Atxn3	NM_029705|NM_001167914	5.21603675804	549	20	57
Mbtps1	NM_001167910|NM_019709	8.52167849503	707	52	22
Frem3	NM_001167898	0.00768565416919	1	0	0
Cd101	NM_001167906|NM_001099332	0.0	0	0	0
Nrg2	NM_001167891	0.0	0	0	0
Psen1	NM_008943	17.3596971722	1031	97	342
Des	NM_010043	0.28436605257	12	0	0
Kcnip2	NM_145703|NM_145704|NM_030716	0.0	0	0	0
Chd6	NM_173368	1.33657144509	274	11	8
4933415F23Rik	NM_025746	0.0	0	0	0
2610528A11Rik	NM_001206684	0.202083886268	3	0	0
Mir30c-2	NR_029717	0.606255003718	1	0	0
Slc16a5	NM_001080934	6.30662670685	374	10	52
Defa26	NM_001079933	0.497101120525	2	0	0
Mrpl45	NM_025927	10.467246113	477	76	20
Smap1	NM_028534	1.67567814374	44	3	0
Fbxo18	NM_015792	7.4271867435	513	8	117
Fbxo8	NM_015791	22.7553437228	1576	80	50
Pnpla6	NM_015801|NM_001122818	1.70400700861	149	32	5
Dkkl1	NM_015789	0.0	0	0	0
Prdm16	NM_001177995|NM_027504	0.0181228505016	3	0	0
