#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.0	0	0	1
Gbp7	NM_001083312|NM_145545	5.65399102186	13	6	1
Arrdc1	NM_001162485|NM_178408|NR_027876	4.09362485002	3	0	3
Ercc5	NM_011729	4.12322996721	7	1	0
Mrpl15	NR_033530|NM_025300|NM_001177658	51.723829638	64	10	7
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	5.19505936098	3	1	4
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	4.66480137583	12	0	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	101.869182881	91	8	9
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	7.71987250253	5	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	5.05029392147	10	1	2
St7	NM_022332|NM_001083315	4.35396022833	4	0	0
Gga1	NM_145929	3.11406871452	4	1	0
AW549877	NM_145930	10.2211849708	22	2	16
Stac2	NM_146028	0.0	0	0	0
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	2.44328042534	4	0	5
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	2.58617246815	2	0	0
Phf7	NM_027949	0.0	0	0	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	0.0	0	0	0
Snord87	NR_004410	15.9595943404	1	0	0
Nek2	NM_010892	0.0	0	0	0
Sult1b1	NM_019878	18.1415416534	20	0	0
Nfatc3	NM_010901	2.16015608959	6	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	4.50446154015	11	0	0
Arfgef1	NM_001102430	2.37597206546	7	0	0
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	1.8957293873	4	0	3
4930528F23Rik	NM_029197	16.6437195924	12	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	7.74487541654	12	0	0
Coro7	NM_030205	0.677184977547	1	0	1
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	17.0808613012	14	0	1
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	12.8603813394	33	5	4
Tmem180	NM_029186	2.07194860486	2	1	0
Zcchc4	NM_030185	0.0	0	0	0
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	1.13177975101	1	0	0
Usp54	NM_030180	0.0	0	0	0
Spata2L	NM_030176	1.98489156599	2	2	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	1.39494615934	6	0	0
Mios	NM_145374	1.91308493484	3	0	0
Gm5523	NR_004447	5.1472127664	2	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	5.32727279956	7	0	0
Tnrc6a	NM_144925	2.2285887612	8	0	2
Npr1	NM_008727	1.16212616105	2	0	2
Serpine2	NM_009255	4.70760035713	4	3	0
Gamt	NM_010255	40.0342477832	16	0	0
Serpina3m	NM_009253	1809.43987096	1056	84	96
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	8634.03750309	5388	86	159
Ahr	NM_013464	5.80403845403	14	2	5
Gla	NM_013463	2.75761280674	4	0	0
Adrb3	NM_013462	0.0	0	0	0
Adra1a	NM_013461	1.1419012658	2	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.0	0	0	0
Herpud1	NM_022331	143.917919347	114	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	18.8287437861	13	1	3
Trip6	NM_011639	1.34205798067	1	1	0
Rpl4	NM_024212	412.122311627	209	19	34
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.0	0	0	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	0.0	0	0	0
Tysnd1	NM_027912	1.03325494623	1	1	0
Cd276	NM_133983	1.4832213794	2	0	1
