#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	32.1923753092	565	6	450
Gbp7	NM_001083312|NM_145545	1.44625005636	61	0	76
Arrdc1	NM_001162485|NM_178408|NR_027876	84.2403408259	1081	0	374
Ercc5	NM_011729	0.0	0	0	0
Mrpl15	NR_033530|NM_025300|NM_001177658	0.0	0	0	0
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	0.0	0	0	0
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	75.4781875627	3685	0	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	8.42866623138	137	0	78
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.0	0	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	13.2678014818	477	0	72
St7	NM_022332|NM_001083315	3.34919118864	56	0	0
Gga1	NM_145929	1.23737974616	29	0	59
AW549877	NM_145930	4.01300739755	158	0	104
Stac2	NM_146028	0.0	0	0	0
2610203C22Rik	NR_015470	16.8320352187	154	0	0
Rab3d	NM_031874	114.203068153	3432	12	2328
Tas1r2	NM_031873	1.31747260713	31	0	0
Tekt4	NM_027951	6.71707943308	79	0	10
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	83.1444926861	1270	1	230
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	0.0	0	0	0
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	37.3730130073	900	1	273
Sult1b1	NM_019878	0.0497658904621	1	0	0
Nfatc3	NM_010901	2.33506847852	108	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	4.285431566	193	0	0
Arfgef1	NM_001102430	60.1374239469	3269	1	522
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	3.7589776087	152	0	49
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	31.6378527342	951	0	1
Coro7	NM_030205	0.147528469391	4	0	3
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.395022357474	6	1	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	5.71633799878	105	0	0
Ube4a	NM_145400	9.21340358045	430	0	86
Tmem180	NM_029186	2.0483032791	36	0	13
Zcchc4	NM_030185	3.87806646292	58	0	0
Rasd2	NM_029182	1.81518236507	39	0	10
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	35.0617712091	1100	2	790
Usp54	NM_030180	8.06344289518	392	1	51
Spata2L	NM_030176	1.0352611947	19	0	8
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	11.0318406959	797	1	114
Mios	NM_145374	7.62080759841	218	0	187
Gm5523	NR_004447	0.115486250384	1	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	0.0	0	0	0
Tnrc6a	NM_144925	1.3687237695	90	0	12
Npr1	NM_008727	0.0	0	2	5
Serpine2	NM_009255	48.9773393968	766	7	488
Gamt	NM_010255	0.0	0	0	0
Serpina3m	NM_009253	0.0	0	0	0
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	0.0	0	0	0
