#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	38.7219749591	1048	345	0
Gbp7	NM_001083312|NM_145545	5.03668451035	325	79	0
Arrdc1	NM_001162485|NM_178408|NR_027876	8.77608211145	176	27	0
Ercc5	NM_011729	1.10784268551	53	26	0
Mrpl15	NR_033530|NM_025300|NM_001177658	0.0	0	0	0
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	2.10882515615	34	8	0
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	154.096854301	11204	4	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	2.12711260522	9	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.0	0	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	41.3606776485	2276	280	0
St7	NM_022332|NM_001083315	24.0067965454	619	0	0
Gga1	NM_145929	0.249022816562	9	8	0
AW549877	NM_145930	0.774109456769	47	14	0
Stac2	NM_146028	0.110128903073	4	0	0
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	97.3840633346	4513	2358	5
Tas1r2	NM_031873	0.330714143757	12	1	0
Tekt4	NM_027951	1.76439163398	32	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	10.6560221078	251	23	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	2.04969646451	10	0	0
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	27.260291673	979	157	0
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	4.47359743269	318	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	2.03938230596	141	0	0
Arfgef1	NM_001102430	53.3234102614	4436	413	0
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	5.05748995776	302	57	0
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	25.5597072057	1114	11	0
Coro7	NM_030205	1.21976915321	51	10	0
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.0435174132166	1	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	5.89571807365	167	4	0
Ube4a	NM_145400	4.29340415059	309	95	0
Tmem180	NM_029186	1.10689045805	30	2	0
Zcchc4	NM_030185	0.0	0	0	0
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	2.14964215001	104	45	0
Usp54	NM_030180	22.4496847152	1683	380	1
Spata2L	NM_030176	0.0	0	0	0
