#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	61.590764702	3525	1272	1
Gbp7	NM_001083312|NM_145545	8.79836621989	1110	298	0
Arrdc1	NM_001162485|NM_178408|NR_027876	29.9160463967	1173	257	0
Ercc5	NM_011729	5.45243599334	510	190	1
Mrpl15	NR_033530|NM_025300|NM_001177658	1.05602795647	53	9	0
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	2.98200036182	94	22	0
Gm101	NM_001115074	0.239707775694	14	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	121.283375137	17241	16	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.265272021725	14	2	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.195091718209	7	0	0
Gabra1	NM_010250	0.0516811835078	5	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	30.9865551211	3339	429	1
St7	NM_022332|NM_001083315	27.532851562	1393	0	0
Gga1	NM_145929	1.58501301185	112	34	0
AW549877	NM_145930	1.09513090721	130	16	0
Stac2	NM_146028	0.0	0	0	0
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	107.508813353	9741	4637	9
Tas1r2	NM_031873	4.08778175344	290	13	0
Tekt4	NM_027951	9.47550731753	336	18	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	8.35988492965	385	32	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	0.524176717209	5	0	0
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	22.8723322917	1606	274	0
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	9.24593754407	1285	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	1.44255450394	195	0	0
Arfgef1	NM_001102430	45.0474610225	7327	806	0
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	0.717468696714	85	16	0
4930528F23Rik	NM_029197	0.278710111543	11	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	30.2648144106	2579	8	0
Coro7	NM_030205	0.599406887198	49	13	0
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.0445154755128	2	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	4.5864020753	254	1	0
Ube4a	NM_145400	7.44060307057	1047	190	2
Tmem180	NM_029186	0.792594136747	42	4	0
Zcchc4	NM_030185	1.08665864705	49	7	0
Rasd2	NM_029182	0.373734766997	24	0	0
Vsig1	NM_030181|NM_026103	0.142020586547	8	0	0
Clip4	NM_175378|NM_030179	0.792888739654	75	32	0
Usp54	NM_030180	26.6623750116	3908	598	0
Spata2L	NM_030176	0.0	0	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	31.1080591865	6776	990	1
Mios	NM_145374	2.63196535924	227	56	0
Gm5523	NR_004447	0.183529256725	4	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.268813205771	22	0	0
Pus10	NM_028956|NM_001033654|NM_028304	0.979774491609	82	41	0
Tnrc6a	NM_144925	14.8649439763	2947	61	1
Npr1	NM_008727	0.0	0	0	0
Serpine2	NM_009255	54.5584784135	2542	816	3
Gamt	NM_010255	2.84754554392	63	0	0
Serpina3m	NM_009253	0.0	0	0	0
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	0.0	0	0	0
Ahr	NM_013464	7.33137683871	944	290	1
Gla	NM_013463	0.0	0	0	0
Adrb3	NM_013462	0.913429795041	59	7	0
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	3.56484128518	259	53	0
Herpud1	NM_022331	0.0460777368009	2	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	98.3898939714	3782	361	0
Trip6	NM_011639	0.0	0	0	0
Rpl4	NM_024212	198.794449403	5437	641	0
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.919807879711	116	22	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	0.136319440362	10	1	0
Tysnd1	NM_027912	1.3745643581	73	6	0
Cd276	NM_133983	0.0	0	0	0
Kazn	NM_144531|NM_001109684|NM_001109685	2.26196874103	187	0	0
Gm4956	NR_002858	0.0	0	0	0
Mlh3	NM_175337	0.377802325717	48	10	0
Gtf2e2	NM_001167921|NM_026584|NM_001167922	25.7445843218	931	47	1
Atxn3	NM_029705|NM_001167914	3.93846069064	493	78	1
Mbtps1	NM_001167910|NM_019709	9.81992631091	968	130	0
