#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.0	0	0	0
Gbp7	NM_001083312|NM_145545	0.0	0	0	0
Arrdc1	NM_001162485|NM_178408|NR_027876	0.0691702839711	1	0	0
Ercc5	NM_011729	5.60325268284	198	27	1
Mrpl15	NR_033530|NM_025300|NM_001177658	85.1678896053	2816	157	202
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	0.0	0	0	0
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	47.8726196822	2546	0	27
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.0	0	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	18.4081338408	753	19	0
St7	NM_022332|NM_001083315	0.0525068994328	1	0	0
Gga1	NM_145929	0.299681136158	8	0	0
AW549877	NM_145930	0.334478785474	15	0	0
Stac2	NM_146028	52.4454975957	1407	42	1
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	0.0	0	0	0
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	14.9440229513	260	22	0
6030422M02Rik	NM_177722	0.0941593629955	2	0	2
Snhg6	NR_024067	66.0449033681	238	0	1
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	3.31745426544	88	0	6
Sult1b1	NM_019878	0.0436914452385	1	0	0
Nfatc3	NM_010901	1.06657346089	56	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	0.254563325602	13	0	0
Arfgef1	NM_001102430	37.4957670169	2304	109	135
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	5.31251894158	227	4	95
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	38.4252368496	1237	0	2
Coro7	NM_030205	14.5387342389	449	79	2
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.0589164059745	1	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	19.4319518865	1033	10	136
Tmem180	NM_029186	0.0	0	0	0
Zcchc4	NM_030185	0.0	0	0	0
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0	0	0	0
Usp54	NM_030180	3.70213991433	205	1	0
Spata2L	NM_030176	0.0	0	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	0.0243043596059	2	0	0
Mios	NM_145374	5.98471602343	195	0	89
Gm5523	NR_004447	1.33600851567	11	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	19.295486528	527	54	0
Tnrc6a	NM_144925	1.49539477968	112	0	13
Npr1	NM_008727	28.9753187042	1038	198	2
Serpine2	NM_009255	0.0	0	0	0
Gamt	NM_010255	0.0	0	0	0
Serpina3m	NM_009253	0.0	0	0	0
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	0.0	0	0	0
Ahr	NM_013464	0.0	0	0	0
Gla	NM_013463	2.00940693947	53	4	0
Adrb3	NM_013462	52.4961129408	1281	1	59
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.0	0	0	0
Herpud1	NM_022331	0.0	0	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	228.36415882	3281	143	134
Trip6	NM_011639	0.0648721033239	1	0	0
Rpl4	NM_024212	3660.60626851	37822	536	491
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.0	0	0	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	0.0	0	0	0
Tysnd1	NM_027912	3.9375303564	79	9	0
Cd276	NM_133983	0.0	0	0	0
Kazn	NM_144531|NM_001109684|NM_001109685	17.2077413871	523	0	0
Gm4956	NR_002858	0.0	0	0	0
Mlh3	NM_175337	15.3131959644	735	99	0
Gtf2e2	NM_001167921|NM_026584|NM_001167922	56.1916829275	738	34	0
Atxn3	NM_029705|NM_001167914	14.6755296449	694	1	133
Mbtps1	NM_001167910|NM_019709	56.1757898959	2095	0	237
Frem3	NM_001167898	0.0171254478397	1	0	0
Cd101	NM_001167906|NM_001099332	0.0	0	0	0
Nrg2	NM_001167891	0.0	0	0	0
Psen1	NM_008943	59.403755364	1580	233	317
Des	NM_010043	0.0	0	0	0
Kcnip2	NM_145703|NM_145704|NM_030716	0.0	0	0	0
Chd6	NM_173368	9.13645129172	843	0	99
4933415F23Rik	NM_025746	0.0	0	0	0
2610528A11Rik	NM_001206684	0.0	0	0	0
Mir30c-2	NR_029717	0.0	0	0	0
Slc16a5	NM_001080934	0.0	0	0	0
Defa26	NM_001079933	0.0	0	0	0
Mrpl45	NM_025927	95.1355026584	1939	433	143
Smap1	NM_028534	32.0689315291	297	15	0
Fbxo18	NM_015792	48.8216833287	1519	176	16
Fbxo8	NM_015791	54.6661179638	1605	49	74
Pnpla6	NM_015801|NM_001122818	39.487642898	1545	229	48
Dkkl1	NM_015789	41.9062029325	328	2	78
Prdm16	NM_001177995|NM_027504	0.0	0	0	0
Zmym3	NM_019831|NM_001177985|NM_001177988|NM_001177986|NM_001177987	28.783491461	1379	292	0
Ccm2	NM_001190343|NM_146014|NM_001190344	0.0	0	0	0
Ccr6	NM_001190333|NM_009835|NM_001190335|NM_001190334|NM_001190337|NM_001190336|NM_001190338	0.0	0	0	0
Ube2r2	NM_026275	0.137190850096	4	0	1
Rspry1	NM_026274	2.06422062077	70	7	0
Csprs	NM_033616	0.0	0	0	0
Rnf41	NM_026259|NM_001164237	19.4370932352	750	115	2
4931408C20Rik	NM_001033764	0.0	0	0	0
LOC100302688	NM_001164374	0.0	0	0	0
Gm13363	NR_002688	0.0	0	0	0
4931428L18Rik	NR_033445	0.0	0	0	0
Mapk14	NM_011951|NM_001168508|NM_001168514|NM_001168513	0.229970867979	6	1	0
Gm4850	NR_015347	0.0	0	0	0
Khdrbs2	NM_133235	0.0	0	0	0
Gm9839	NM_001199956	0.0	0	0	0
Btnl3	NM_001111094	0.0	0	0	0
1700001G17Rik	NR_033199	0.0	0	0	0
Synj2	NM_001113352|NM_001113353|NM_001113351|NM_011523	0.0	0	0	0
Tspyl4	NM_030203	0.0	0	0	0
4930562C15Rik	NM_030192	0.0	0	0	0
Dopey2	NM_027293|NM_026700	0.0	0	0	0
Rbm42	NM_133693	21.1515059342	315	0	15
Manba	NM_027288	0.0309007755824	1	0	0
Prpf6	NM_133701	66.4784654248	1787	10	25
Dnajb4	NM_027287|NM_025926	0.0	0	0	0
Cxxc5	NM_133687	33.9378435641	677	0	102
Mosc2	NM_133684	0.0	0	0	0
Tmem19	NM_133683	17.5729996043	466	109	0
2810432D09Rik	NM_027278	76.8558744685	558	0	0
Ptcd3	NM_027275	70.6418648818	1341	67	97
Osgep	NM_133676	100.97480658	1147	146	318
Apitd1	NM_027263	102.607723391	824	0	271
Tor1b	NM_133673	0.0381691024651	1	0	0
Sult1a1	NM_133670	0.0	0	0	0
Zfp119b	NM_146249	0.708408607223	9	0	0
Spred2	NM_033523	0.0	0	0	0
Laptm4b	NM_033521	1.43218698481	22	0	0
Gm3448	NM_001123367	0.0	0	0	0
Zbtb40	NM_198248	0.0	0	0	0
AA619741	NR_033627	0.0	0	0	0
Hist1h1d	NM_145713	3.30290585901	82	0	0
Mtnr1b	NM_145712	0.0	0	0	0
Tox	NM_145711	0.0	0	0	0
Nup43	NM_145706	4.35418882398	49	14	0
Tinf2	NM_145705	36.062287171	546	159	8
Usp44	NM_183199|NM_001206851	0.0	0	0	0
Serpinb9f	NM_183197	0.0	0	0	0
Marveld1	NM_183195	0.0	0	0	0
Reep3	NM_178606|NM_001204915	2.40831356107	108	15	40
Gsdmc3	NM_183194	0.0	0	0	0
Scrt1	NM_130893	0.0	0	0	0
Rtn4ip1	NM_130892	4.3174889593	113	0	12
Grip1	NM_133442|NM_130891|NM_028736	0.0	0	0	0
Arid5a	NR_033310|NM_001172205|NM_001172206|NM_145996	0.0	0	0	0
Scn1a	NM_018733	0.0	0	0	0
Lce1d	NM_027137	0.0	0	0	0
Rpl36	NM_018730	861.345225771	729	171	3
Cd244	NM_018729	0.0	0	0	0
Cnnm4	NM_033570	0.768991591277	31	3	0
Rbbp4	NM_009030	87.0937875903	2948	234	101
Gcnt2	NM_023887|NM_008105|NM_133219	0.256948277466	9	0	1
Zfp704	NM_133218	5.63235040152	686	71	1
Cep63	NM_001081122	10.8006111287	256	0	0
Oc90	NM_010953	3.29943880111	52	0	0
Adam7	NM_007402	0.0	0	0	0
Il4i1	NM_010215	0.0	0	0	0
Irak2	NM_172161|NM_001113553	20.4014137757	483	0	18
Lcor	NM_172154	13.7575109271	568	0	140
Mpst	NM_001162493|NM_001162492|NM_138670	0.0	0	0	0
Crisp2	NM_001204071|NM_009420	0.0	0	0	0
Kif9	NM_010628|NM_001163569	0.0	0	0	0
Mtpn	NM_008098	50.8937791479	1770	123	60
Gdf3	NM_008108	91.8387978943	1658	174	143
Gcdh	NM_008097|NM_001044744	56.1755028461	1046	96	128
Tgm1	NM_019984|NM_001161714|NM_001161715	0.0	0	0	0
4933402J07Rik	NM_177901	0.0	0	0	0
Mgat4a	NM_173870	0.0160111096115	1	0	0
Dnaja2	NM_019794	46.1476253681	1160	184	1
4930594C11Rik	NR_024017	0.164821097834	4	0	0
2010300C02Rik	NM_028096	0.0	0	0	0
Lnpep	NM_172827	1.92540241245	88	0	0
Dact2	NM_172826	0.0	0	0	0
Ccdc14	NM_172824	0.0	0	0	0
Lmln	NM_172823	0.0	0	0	0
Atp8b5	NM_177195	0.0	0	0	0
Agbl2	NM_178755	0.0	0	0	0
Spin4	NM_178753	0.0	0	0	0
Lonrf2	NM_001029878	0.0	0	0	0
Ap1m2	NM_009678|NM_001110300	0.197797440096	3	0	1
Ap1g1	NM_009677	15.0445396047	903	1	190
Lgals8	NM_018886|NM_001199043	86.6598916803	2097	119	59
Camkk1	NM_018883	0.0	0	0	0
Mid1ip1	NM_026524|NM_001166635	0.0	0	0	0
Nmb	NM_026523	17.546093075	103	21	1
Chid1	NM_026522|NM_001142681	19.6621139463	653	81	0
Ddx19b	NM_001190800|NM_172284|NM_001190786	5.47136075459	273	0	16
D1Bwg0212e	NM_028043	20.6709622569	567	8	81
Snord89	NR_028555	0.0	0	0	0
Mef2b	NM_001045484|NM_008578	0.0	0	0	0
Rfx8	NM_001145660	0.0	0	0	0
Gm13718	NM_001145100	0.0	0	0	0
Tnik	NM_001163007|NM_026910|NM_001163008|NM_001163009	0.0	0	0	0
Eif2ak3	NM_010121	14.6920954834	582	191	1
Sar1a	NM_009120	75.6884191899	1731	8	522
Sap18	NM_009119	51.714323605	1174	292	1
Eif1a	NM_010120	472.268826837	11453	0	0
Ehd1	NM_010119	4.49912788479	126	0	0
Egr2	NM_010118	0.0	0	0	0
Cops6	NM_012002	241.401031677	2287	61	48
Tekt2	NM_011902	0.0	0	0	0
Cyp4f13	NM_130882	41.6037976719	610	0	0
Pabpc4	NM_130881|NM_148917	155.447413642	996	0	0
Mfsd9	NM_172499	0.0	0	0	0
A1bg	NM_001081067	0.0	0	0	0
2610017I09Rik	NR_027826	0.0	0	0	0
2900092D14Rik	NR_027891	0.0	0	0	0
Abcc9	NM_011511|NM_021041|NM_001044720|NM_021042	0.0	0	0	0
AI597479	NM_133818	10.8737379834	331	18	23
Cox7a2l	NM_001159529|NM_009187	209.250586476	895	30	35
Fbxo6	NM_001163704|NM_015797|NM_001163707|NM_001163706|NM_001163705	68.7402807671	681	107	0
Jazf1	NM_001168277|NM_173406	0.0	0	0	0
Tcn2	NM_001130459|NM_015749|NM_001130458	44.5514845872	772	0	131
Neu2	NM_001160164|NM_001160163|NM_001160165|NM_015750	0.0	0	0	0
Slit1	NM_015748	0.0	0	0	0
Slc20a1	NM_015747|NM_001159593	103.656570634	3014	255	111
Il5	NM_010558	0.0	0	0	0
Zfp46	NM_009557	0.0	0	0	0
Il3	NM_010556	0.0	0	0	0
Ccs	NM_016892	0.0	0	0	0
Gm4894	NM_177701	0.0	0	0	0
Syt7	NM_173068|NM_173067|NM_018801	0.0	0	0	0
Nlrp2	NM_177690	0.0	0	0	0
Clec12a	NM_177686	0.0	0	0	0
4930503L19Rik	NM_172967	0.0	0	0	0
Sh3rf2	NM_172966|NM_001146299	0.0	0	0	0
Dnajc5g	NM_177677	0.0	0	0	0
Sap130	NM_172965	22.4697577985	795	238	11
Wdr75	NM_028599	99.2642538274	2264	261	541
Dcdc2c	NM_001177964	0.0	0	0	0
Gm4776	NR_037690|NR_037691	0.0	0	0	0
Dnahc7b	NM_001160386	6.52839227472	391	0	0
Sema6a	NM_018744	0.0	0	0	0
Bet1l	NM_018742	0.0745986400231	1	0	0
Rp9	NM_018739	0.805292975325	8	0	3
Wdr20a	NM_027149	0.302484984157	5	0	1
Trip13	NM_027182	25.8240025821	514	53	1
Exosc8	NM_027148|NM_001163570	417.684406168	4339	851	477
Ctps2	NM_001168568|NM_018737|NM_001168571|NM_001168569|NR_033143	0.0	0	0	0
Mre11a	NM_018736	0.0378366269384	1	0	0
Gbp3	NM_018734	0.0	0	0	0
Gm711	NM_198628	0.0	0	0	0
4430402I18Rik	NM_198651	0.0	0	0	0
Galntl6	NM_175032	0.0225210387803	1	0	0
Casp8	NM_009812|NM_001080126	0.0	0	0	0
Rtkn2	NM_001081346	0.0	0	0	0
Capn3	NM_007601|NM_001177799|NM_001109761	0.0	0	0	0
Arhgap1	NR_027371|NR_027373|NR_027372|NM_001145902|NM_146124	173.892396184	3762	413	152
Serpina3n	NM_009252	0.0578029245425	1	0	0
Polh	NM_030715	0.0	0	0	0
Dtx3	NM_030714	0.0	0	0	0
Pitpnc1	NM_145823	0.0715280193039	4	0	0
Veph1	NM_145820|NM_028357	0.0	0	0	0
1700019A02Rik	NM_027070	0.0	0	0	0
Prelid1	NM_025596	115.108510398	587	7	5
Mrpl51	NM_025595	94.5563759148	946	66	32
1700029H14Rik	NM_025601|NM_001080781	0.0	0	0	0
Rpl36al	NM_025589	1130.70509482	1902	0	0
Dda1	NM_025600	1.21307314699	19	0	0
Zfp346	NM_012017	28.2513778607	895	0	66
Xrn2	NM_011917	192.015491229	5692	56	354
1700029F12Rik	NM_025585|NM_001080777	0.0	0	0	0
2310061N02Rik	NM_027155	0.0	0	0	0
Ccdc150	NM_030025	0.0	0	0	0
Gtf3c3	NM_001033194	2.74509907036	62	23	0
Slc2a9	NM_001102415|NM_001102414|NM_145559|NM_001012363	0.10160580859	3	0	0
Kng1	NM_001102412|NM_001102411|NM_023125	0.0	0	0	0
Smarca2	NM_011416|NM_026003	0.0	0	0	0
Mtdh	NM_026002	49.7613112255	1613	0	0
Cisd2	NM_025902	0.395873837096	10	0	0
Rnaseh2b	NM_026001	151.349020526	1927	431	161
Smarcd3	NM_025891	0.0	0	0	0
Mobkl3	NM_025283	40.8729805349	959	0	0
Chrm4	NM_007699	0.0	0	0	0
Bcl2l13	NM_153516	15.436883994	945	1	227
