#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	40.4886469656	2290	928	3
Gbp7	NM_001083312|NM_145545	5.33201106026	719	158	0
Arrdc1	NM_001162485|NM_178408|NR_027876	54.0930044298	2269	466	1
Ercc5	NM_011729	16.013826886	1601	529	0
Mrpl15	NR_033530|NM_025300|NM_001177658	0.401683043066	42	7	1
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.102917419896	17	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	1.06847837249	36	28	0
Gm101	NM_001115074	0.304362459302	19	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	105.499997096	16108	18	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	1.37456090872	72	12	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.365047543303	14	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	24.2687169309	2798	325	0
St7	NM_022332|NM_001083315	23.6993274214	1277	0	0
Gga1	NM_145929	1.68151957436	127	85	0
AW549877	NM_145930	0.953655353323	121	52	0
Stac2	NM_146028	0.0	0	0	0
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	98.022861324	9493	4016	2
Tas1r2	NM_031873	0.118690404322	9	0	0
Tekt4	NM_027951	11.0286631567	418	15	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	12.0469653319	593	47	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	0.196164816153	2	0	0
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	21.8786495107	1642	271	0
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	3.00238242166	446	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	2.86070656506	439	3	0
Arfgef1	NM_001102430	37.3254458908	6489	618	0
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	3.41154060301	432	66	0
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	39.876240812	3632	21	2
Coro7	NM_030205	0.148782687155	13	2	0
Tmem51	NM_145402	0.388826681818	18	5	0
Tapbpl	NM_145391	0.0416480052244	2	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	1.68935844065	100	1	0
Ube4a	NM_145400	4.56774224116	687	139	0
Tmem180	NM_029186	1.41245606857	80	2	0
Zcchc4	NM_030185	1.59761151537	77	6	0
Rasd2	NM_029182	0.203968709055	14	3	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	3.24420453026	329	139	0
Usp54	NM_030180	23.0044817899	3604	561	5
Spata2L	NM_030176	0.0	0	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	30.7578928994	7161	829	1
Mios	NM_145374	3.54719824883	327	91	0
Gm5523	NR_004447	0.128778912447	3	0	0
Plin1	NM_001113471|NM_175640	0.0216836174926	1	0	0
Jakmip2	NM_001163637	0.731629634527	64	0	0
Pus10	NM_028956|NM_001033654|NM_028304	3.0406370106	272	61	0
Tnrc6a	NM_144925	9.76398323566	2069	12	0
Npr1	NM_008727	0.0	0	0	0
Serpine2	NM_009255	85.0600930315	4236	1417	2
Gamt	NM_010255	0.380588828257	9	0	0
Serpina3m	NM_009253	0.0	0	0	0
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	0.0	0	0	0
Ahr	NM_013464	7.25149380112	998	191	0
Gla	NM_013463	0.0804024094391	6	0	0
Adrb3	NM_013462	0.188299807843	13	0	0
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	4.2108675869	327	70	0
Herpud1	NM_022331	0.0	0	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	83.5540896455	3425	474	3
Trip6	NM_011639	0.779588945381	34	19	1
Rpl4	NM_024212	182.977706858	5349	509	0
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	1.18697758122	160	15	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	0.0765230800069	6	0	0
Tysnd1	NM_027912	3.34718114536	190	22	0
Cd276	NM_133983	0.0	0	0	0
Kazn	NM_144531|NM_001109684|NM_001109685	5.49253392054	492	0	0
Gm4956	NR_002858	0.0	0	0	0
Mlh3	NM_175337	0.780571206785	106	22	0
Gtf2e2	NM_001167921|NM_026584|NM_001167922	18.6273938352	720	42	0
Atxn3	NM_029705|NM_001167914	5.86722369197	785	126	0
Mbtps1	NM_001167910|NM_019709	14.7301776433	1556	185	0
Frem3	NM_001167898	0.0	0	0	0
Cd101	NM_001167906|NM_001099332	0.137429650439	11	0	0
Nrg2	NM_001167891	0.0	0	0	0
Psen1	NM_008943	22.9763262546	1729	885	0
Des	NM_010043	0.0	0	0	0
Kcnip2	NM_145703|NM_145704|NM_030716	0.0	0	0	0
Chd6	NM_173368	13.9705393408	3647	649	1
4933415F23Rik	NM_025746	0.114251966025	5	0	0
2610528A11Rik	NM_001206684	0.0528036236184	1	0	0
Mir30c-2	NR_029717	0.0	0	0	0
Slc16a5	NM_001080934	0.0	0	0	0
Defa26	NM_001079933	0.0	0	0	0
Mrpl45	NM_025927	32.549992249	1877	567	1
Smap1	NM_028534	35.8361121354	939	41	0
Fbxo18	NM_015792	44.3499948391	3904	424	0
Fbxo8	NM_015791	64.9355333564	5394	375	0
Pnpla6	NM_015801|NM_001122818	7.66953810661	851	206	1
Dkkl1	NM_015789	0.0	0	0	0
Prdm16	NM_001177995|NM_027504	10.325383483	2219	30	0
Zmym3	NM_019831|NM_001177985|NM_001177988|NM_001177986|NM_001177987	8.92674975162	1210	201	0
Ccm2	NM_001190343|NM_146014|NM_001190344	0.150558608632	7	0	0
