#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.0	0	0	0
Gbp7	NM_001083312|NM_145545	0.0	0	0	0
Arrdc1	NM_001162485|NM_178408|NR_027876	48.7124513867	485	129	0
Ercc5	NM_011729	0.0	0	0	0
Mrpl15	NR_033530|NM_025300|NM_001177658	205.722017879	3846	239	185
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0652418652757	3	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	40.4127009961	285	38	29
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	70.8745547435	2597	4	4
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.119418783661	1	0	0
Gabra1	NM_010250	0.0204598615363	1	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	7.47423195764	206	36	0
St7	NM_022332|NM_001083315	0.0	0	0	0
Gga1	NM_145929	38.0049885399	680	56	88
AW549877	NM_145930	2.63686727675	79	14	0
Stac2	NM_146028	3.22802798024	58	0	5
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	0.0	0	0	0
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	1.53956333089	18	0	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	101.524597789	244	4	12
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	107.522930861	1864	69	184
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	18.3288838093	649	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	1.75640991287	64	0	0
Arfgef1	NM_001102430	1.79323518898	73	13	0
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	3.56126110351	100	17	0
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	14.6252242745	71	10	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	66.8586994295	1385	2	0
Coro7	NM_030205	0.0	0	0	0
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.3524280199	4	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	3.19173839966	114	0	0
Tmem180	NM_029186	0.0	0	0	0
Zcchc4	NM_030185	0.0	0	0	0
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0	0	0	0
Usp54	NM_030180	0.0	0	0	0
Spata2L	NM_030176	0.0	0	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	4.8752195788	268	11	0
Mios	NM_145374	0.0	0	0	0
Gm5523	NR_004447	0.0	0	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	30.771828598	651	52	36
Tnrc6a	NM_144925	0.0200134557828	1	0	0
Npr1	NM_008727	4.48760512794	108	15	0
Serpine2	NM_009255	0.0849745075524	1	0	0
Gamt	NM_010255	19.1445135101	107	0	0
Serpina3m	NM_009253	0.0	0	0	0
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	2.87812231313	25	0	1
Ahr	NM_013464	0.0	0	0	0
Gla	NM_013463	51.1963328933	889	0	0
Adrb3	NM_013462	8.153104436	134	0	8
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.0	0	0	0
Herpud1	NM_022331	0.0	0	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	97.8144489309	888	39	57
Trip6	NM_011639	0.0964170974898	1	0	0
Rpl4	NM_024212	2847.1660713	18725	1078	1205
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.0	0	0	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	0.0	0	0	0
Tysnd1	NM_027912	17.8156526595	240	6	3
Cd276	NM_133983	0.0532791496333	1	0	0
Kazn	NM_144531|NM_001109684|NM_001109685	4.30921801844	87	6	0
Gm4956	NR_002858	0.0	0	0	0
Mlh3	NM_175337	0.0	0	0	0
Gtf2e2	NM_001167921|NM_026584|NM_001167922	63.0057740035	576	11	11
Atxn3	NM_029705|NM_001167914	225.476508796	2089	70	182
Mbtps1	NM_001167910|NM_019709	13.8566773008	345	32	0
Frem3	NM_001167898	0.0	0	0	0
Cd101	NM_001167906|NM_001099332	0.0	0	0	0
Nrg2	NM_001167891	0.0	0	0	0
Psen1	NM_008943	42.6340266479	760	234	13
Des	NM_010043	0.0	0	0	0
Kcnip2	NM_145703|NM_145704|NM_030716	0.0	0	0	0
Chd6	NM_173368	3.55749375648	217	0	51
4933415F23Rik	NM_025746	0.0	0	0	0
2610528A11Rik	NM_001206684	0.0	0	0	0
Mir30c-2	NR_029717	0.0	0	0	0
Slc16a5	NM_001080934	0.0561900965503	1	0	0
Defa26	NM_001079933	0.0	0	0	0
Mrpl45	NM_025927	82.596157436	1083	136	109
Smap1	NM_028534	54.7462460644	427	10	0
Fbxo18	NM_015792	0.0965817254309	2	0	0
Fbxo8	NM_015791	31.8507197696	662	13	29
Pnpla6	NM_015801|NM_001122818	47.8722403472	1252	131	79
Dkkl1	NM_015789	0.0	0	0	0
Prdm16	NM_001177995|NM_027504	2.96914298234	148	0	6
Zmym3	NM_019831|NM_001177985|NM_001177988|NM_001177986|NM_001177987	52.0148162512	937	89	0
Ccm2	NM_001190343|NM_146014|NM_001190344	0.109964636744	1	0	0
Ccr6	NM_001190333|NM_009835|NM_001190335|NM_001190334|NM_001190337|NM_001190336|NM_001190338	0.0	0	0	0
Ube2r2	NM_026275	0.0	0	0	0
Rspry1	NM_026274	0.0	0	0	0
Csprs	NM_033616	0.0	0	0	0
Rnf41	NM_026259|NM_001164237	38.9637691317	914	45	94
4931408C20Rik	NM_001033764	0.0	0	0	0
LOC100302688	NM_001164374	0.0	0	0	0
Gm13363	NR_002688	0.0	0	0	0
4931428L18Rik	NR_033445	0.0	0	0	0
Mapk14	NM_011951|NM_001168508|NM_001168514|NM_001168513	0.0572204475696	1	1	0
Gm4850	NR_015347	0.0	0	0	0
Khdrbs2	NM_133235	0.0	0	0	0
Gm9839	NM_001199956	0.0	0	0	0
Btnl3	NM_001111094	0.0	0	0	0
1700001G17Rik	NR_033199	0.0	0	0	0
Synj2	NM_001113352|NM_001113353|NM_001113351|NM_011523	0.0229626669217	1	0	0
Tspyl4	NM_030203	0.0	0	0	0
4930562C15Rik	NM_030192	0.0	0	0	0
Dopey2	NM_027293|NM_026700	8.24579682305	356	36	150
Rbm42	NM_133693	231.945186907	2325	49	70
Manba	NM_027288	0.0	0	0	0
Prpf6	NM_133701	26.1711703229	469	8	10
Dnajb4	NM_027287|NM_025926	0.0	0	0	0
Cxxc5	NM_133687	0.0	0	0	0
Mosc2	NM_133684	46.3211746126	514	32	172
Tmem19	NM_133683	0.0	0	0	0
2810432D09Rik	NM_027278	85.251560908	422	0	0
Ptcd3	NM_027275	67.5860118586	858	38	28
Osgep	NM_133676	14.0254527412	101	0	48
Apitd1	NM_027263	66.7846288377	361	16	93
Tor1b	NM_133673	32.3873941892	572	152	2
Sult1a1	NM_133670	0.0	0	0	0
Zfp119b	NM_146249	0.13393377394	1	0	0
Spred2	NM_033523	0.0	0	0	0
Laptm4b	NM_033521	0.310226858468	3	0	0
Gm3448	NM_001123367	0.0	0	0	0
Zbtb40	NM_198248	0.519086487042	22	2	0
AA619741	NR_033627	0.0	0	0	0
Hist1h1d	NM_145713	0.0	0	0	0
Mtnr1b	NM_145712	0.0	0	0	0
Tox	NM_145711	0.0	0	0	0
Nup43	NM_145706	146.147392052	1111	43	49
Tinf2	NM_145705	11.3259577811	116	43	0
Usp44	NM_183199|NM_001206851	0.0	0	0	0
Serpinb9f	NM_183197	0.748650404038	2	0	0
Marveld1	NM_183195	0.0	0	0	0
Reep3	NM_178606|NM_001204915	15.5024032163	447	63	20
Gsdmc3	NM_183194	0.0	0	0	0
Scrt1	NM_130893	0.0	0	0	0
Rtn4ip1	NM_130892	3.10868167772	55	21	0
Grip1	NM_133442|NM_130891|NM_028736	0.0	0	0	0
Arid5a	NR_033310|NM_001172205|NM_001172206|NM_145996	1.69293942264	55	0	4
Scn1a	NM_018733	0.0	0	0	0
Lce1d	NM_027137	0.0	0	0	0
Rpl36	NM_018730	68.7949019927	15	46	0
Cd244	NM_018729	0.0	0	0	0
Cnnm4	NM_033570	7.14188197803	192	13	0
Rbbp4	NM_009030	89.8420460165	1988	221	49
Gcnt2	NM_023887|NM_008105|NM_133219	0.0	0	0	0
Zfp704	NM_133218	3.30492679273	268	17	0
Cep63	NM_001081122	15.4524849716	246	0	0
Oc90	NM_010953	0.0	0	0	0
Adam7	NM_007402	0.0	0	0	0
Il4i1	NM_010215	0.0	0	0	0
Irak2	NM_172161|NM_001113553	35.5658405641	553	0	102
Lcor	NM_172154	2.85674162324	79	0	0
Mpst	NM_001162493|NM_001162492|NM_138670	0.0	0	0	0
Crisp2	NM_001204071|NM_009420	0.0	0	0	0
Kif9	NM_010628|NM_001163569	0.0	0	0	0
Mtpn	NM_008098	74.2329413292	1693	79	107
Gdf3	NM_008108	75.4334194985	910	57	67
Gcdh	NM_008097|NM_001044744	1.40077683946	18	0	3
Tgm1	NM_019984|NM_001161714|NM_001161715	0.0	0	0	0
4933402J07Rik	NM_177901	0.0	0	0	0
Mgat4a	NM_173870	7.85442677092	327	0	0
Dnaja2	NM_019794	178.181784786	2981	251	185
4930594C11Rik	NR_024017	2.07788704349	33	0	0
2010300C02Rik	NM_028096	8.9345109947	218	0	0
Lnpep	NM_172827	0.0	0	0	0
Dact2	NM_172826	0.0	0	0	0
Ccdc14	NM_172824	1.6527303782	40	0	12
Lmln	NM_172823	0.0	0	0	0
Atp8b5	NM_177195	0.0	0	0	0
Agbl2	NM_178755	0.0	0	0	0
Spin4	NM_178753	0.0	0	0	0
Lonrf2	NM_001029878	0.0	0	0	0
Ap1m2	NM_009678|NM_001110300	44.6279784732	456	0	19
Ap1g1	NM_009677	14.3382421522	576	24	55
Lgals8	NM_018886|NM_001199043	94.1951298392	1536	5	76
Camkk1	NM_018883	0.0	0	0	0
Mid1ip1	NM_026524|NM_001166635	0.0	0	0	0
Nmb	NM_026523	0.0	0	0	0
Chid1	NM_026522|NM_001142681	0.0	0	0	0
Ddx19b	NM_001190800|NM_172284|NM_001190786	19.9926946979	677	9	50
D1Bwg0212e	NM_028043	30.0105619448	547	31	54
Snord89	NR_028555	0.0	0	0	0
Mef2b	NM_001045484|NM_008578	0.0	0	0	0
Rfx8	NM_001145660	0.0	0	0	0
Gm13718	NM_001145100	30.6062647279	529	8	0
Tnik	NM_001163007|NM_026910|NM_001163008|NM_001163009	0.0	0	0	0
Eif2ak3	NM_010121	10.9480059085	290	55	0
Sar1a	NM_009120	115.368504231	1769	41	198
Sap18	NM_009119	14.83827444	224	10	24
Eif1a	NM_010120	243.821970999	3901	0	0
Ehd1	NM_010119	50.7429063923	952	0	0
Egr2	NM_010118	0.0	0	0	0
Cops6	NM_012002	292.699040965	1887	52	55
Tekt2	NM_011902	0.0	0	0	0
Cyp4f13	NM_130882	0.0	0	0	0
Pabpc4	NM_130881|NM_148917	188.449773181	779	7	0
Mfsd9	NM_172499	0.0	0	0	0
A1bg	NM_001081067	0.0	0	0	0
2610017I09Rik	NR_027826	0.0	0	0	0
2900092D14Rik	NR_027891	0.0	0	0	0
Abcc9	NM_011511|NM_021041|NM_001044720|NM_021042	0.0	0	0	0
AI597479	NM_133818	17.2541143162	352	10	64
Cox7a2l	NM_001159529|NM_009187	202.593966481	527	23	100
Fbxo6	NM_001163704|NM_015797|NM_001163707|NM_001163706|NM_001163705	58.6072795943	399	27	12
Jazf1	NM_001168277|NM_173406	0.0	0	0	0
Tcn2	NM_001130459|NM_015749|NM_001130458	0.133170597519	2	0	0
Neu2	NM_001160164|NM_001160163|NM_001160165|NM_015750	0.0	0	0	0
Slit1	NM_015748	0.0	0	0	0
Slc20a1	NM_015747|NM_001159593	74.2636419564	1446	81	125
Il5	NM_010558	0.0	0	0	0
Zfp46	NM_009557	0.0	0	0	0
Il3	NM_010556	0.0	0	0	0
Ccs	NM_016892	137.505193415	857	29	65
Gm4894	NM_177701	0.0	0	0	0
Syt7	NM_173068|NM_173067|NM_018801	0.0	0	0	0
Nlrp2	NM_177690	0.0	0	0	0
Clec12a	NM_177686	0.0	0	0	0
4930503L19Rik	NM_172967	0.0	0	0	0
Sh3rf2	NM_172966|NM_001146299	0.0	0	0	0
Dnajc5g	NM_177677	0.0	0	0	0
Sap130	NM_172965	10.1858719978	241	39	0
Wdr75	NM_028599	135.231198471	2039	542	96
Dcdc2c	NM_001177964	0.0	0	0	0
Gm4776	NR_037690|NR_037691	0.0	0	0	0
Dnahc7b	NM_001160386	0.0	0	0	0
Sema6a	NM_018744	0.0	0	0	0
Bet1l	NM_018742	16.6195244333	152	51	0
Rp9	NM_018739	29.967887339	202	31	36
Wdr20a	NM_027149	2.8991017924	30	4	0
Trip13	NM_027182	131.817951158	1761	180	73
Exosc8	NM_027148|NM_001163570	246.791350364	1863	351	136
Ctps2	NM_001168568|NM_018737|NM_001168571|NM_001168569|NR_033143	10.3558896721	319	34	0
Mre11a	NM_018736	18.6132500587	330	77	0
Gbp3	NM_018734	0.0	0	0	0
Gm711	NM_198628	0.0	0	0	0
4430402I18Rik	NM_198651	0.0	0	0	0
Galntl6	NM_175032	0.0	0	0	0
Casp8	NM_009812|NM_001080126	0.0	0	0	0
Rtkn2	NM_001081346	0.0	0	0	0
Capn3	NM_007601|NM_001177799|NM_001109761	0.0	0	0	0
Arhgap1	NR_027371|NR_027373|NR_027372|NM_001145902|NM_146124	105.885025905	1475	57	184
Serpina3n	NM_009252	0.364345875646	4	0	0
Polh	NM_030715	0.0	0	0	0
Dtx3	NM_030714	0.0	0	0	0
Pitpnc1	NM_145823	9.53050625251	355	118	12
Veph1	NM_145820|NM_028357	0.0302927723659	1	0	0
1700019A02Rik	NM_027070	0.0	0	0	0
Prelid1	NM_025596	165.518564542	496	12	19
Mrpl51	NM_025595	102.593330952	674	62	124
1700029H14Rik	NM_025601|NM_001080781	0.0	0	0	0
Rpl36al	NM_025589	931.482972981	1016	0	0
Dda1	NM_025600	26.0153217756	274	0	0
Zfp346	NM_012017	0.0	0	0	0
Xrn2	NM_011917	64.6249564227	1282	52	33
1700029F12Rik	NM_025585|NM_001080777	0.0	0	0	0
2310061N02Rik	NM_027155	0.0	0	0	0
Ccdc150	NM_030025	20.8161651612	467	32	37
Gtf3c3	NM_001033194	32.4435919068	460	57	55
Slc2a9	NM_001102415|NM_001102414|NM_145559|NM_001012363	0.0	0	0	0
Kng1	NM_001102412|NM_001102411|NM_023125	0.0	0	0	0
Smarca2	NM_011416|NM_026003	20.9480596166	212	0	27
Mtdh	NM_026002	24.7893708323	537	0	0
Cisd2	NM_025902	22.3234577037	374	0	0
Rnaseh2b	NM_026001	142.440544959	1223	91	279
Smarcd3	NM_025891	0.0	0	0	0
Mobkl3	NM_025283	196.815192558	3023	35	26
Chrm4	NM_007699	0.0614833726636	1	0	0
Bcl2l13	NM_153516	8.83134401838	361	40	0
