#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	35.8777954819	116	0	34
Gbp7	NM_001083312|NM_145545	0.0	0	0	0
Arrdc1	NM_001162485|NM_178408|NR_027876	48.8177485505	120	31	1
Ercc5	NM_011729	16.6829481721	95	49	0
Mrpl15	NR_033530|NM_025300|NM_001177658	64.6523278111	317	11	32
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	0.0	0	0	0
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	51.8875400713	465	0	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.0	0	0	0
Gabra1	NM_010250	0.169808541799	1	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	6.70017597102	45	0	0
St7	NM_022332|NM_001083315	25.3121151067	78	0	0
Gga1	NM_145929	0.232101523679	1	0	0
AW549877	NM_145930	0.0	0	0	0
Stac2	NM_146028	13.973059817	61	3	0
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	0.0	0	0	0
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	17.5694068199	50	0	0
6030422M02Rik	NM_177722	0.299403070936	1	0	0
Snhg6	NR_024067	58.827192066	34	0	4
Snord87	NR_004410	19.0323268449	2	0	0
Nek2	NM_010892	214.299707733	895	60	78
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	9.91082010828	85	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	2.64001768954	23	0	0
Arfgef1	NM_001102430	0.0	0	0	0
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	26.7915987865	190	50	0
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	131.360413481	656	1	0
Coro7	NM_030205	1.61512865427	8	2	0
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.0	0	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	0.0	0	0	0
Tmem180	NM_029186	1.85314742853	6	0	0
Zcchc4	NM_030185	13.359228084	37	1	3
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0	0	0	0
Usp54	NM_030180	17.1193836256	153	8	0
Spata2L	NM_030176	0.0	0	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	2.45799277654	33	1	2
Mios	NM_145374	10.3614155629	55	6	0
Gm5523	NR_004447	0.0	0	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	6.17887936984	33	5	0
Tnrc6a	NM_144925	14.4925352029	175	4	0
Npr1	NM_008727	0.173233953959	1	0	0
Serpine2	NM_009255	21.3339305868	61	13	1
