#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.0309891374784	1	0	0
Gbp7	NM_001083312|NM_145545	0.131389549604	10	11	0
Arrdc1	NM_001162485|NM_178408|NR_027876	0.128143761175	3	0	0
Ercc5	NM_011729	21.1580698943	1203	167	142
Mrpl15	NR_033530|NM_025300|NM_001177658	24.9173546898	957	10	77
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	71.9960779789	6285	0	22
Tssc4	NM_001115085|NM_020285|NM_138631	49.8135263183	980	65	136
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	1.78576767995	154	0	0
Erv3	NM_001166206	0.0439328921306	2	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0285537129752	1	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	22.2691555033	449	0	0
Gabra1	NM_010250	0.0255206986117	2	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	9.09672942728	603	4	8
St7	NM_022332|NM_001083315	10.3720901839	319	0	0
Gga1	NM_145929	21.5342993175	926	252	72
AW549877	NM_145930	0.0	0	0	0
Stac2	NM_146028	24.2515328142	1048	20	0
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	0.0	0	0	0
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0965648391775	3	0	0
Phf7	NM_027949	8.8906533218	250	0	5
6030422M02Rik	NM_177722	0.0149991974409	1	0	0
Snhg6	NR_024067	111.641790532	644	6	25
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	4.43825283269	185	0	41
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	0.0	0	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	6.8428619285	648	8	0
Arfgef1	NM_001102430	0.245128748449	24	0	4
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	10.002764744	708	32	206
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0302686506915	1	0	0
Ythdf2	NM_145393	16.0227283324	798	1	0
Coro7	NM_030205	0.0202282774706	1	0	1
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	9.50640723037	260	0	35
Ankrd7	NM_029202|NM_001167757	0.029695380792	1	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	5.7099205157	491	38	67
Tmem180	NM_029186	0.0	0	0	0
Zcchc4	NM_030185	0.0	0	0	0
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	3.50606147707	203	0	52
Usp54	NM_030180	0.0	0	0	0
Spata2L	NM_030176	0.0	0	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	17.7811385892	2347	56	150
Mios	NM_145374	11.600631987	609	120	0
Gm5523	NR_004447	1.52408617656	17	0	0
Plin1	NM_001113471|NM_175640	3.3142276767	90	1	0
Jakmip2	NM_001163637	0.0201129489059	1	0	0
Pus10	NM_028956|NM_001033654|NM_028304	14.9487727049	686	96	0
Tnrc6a	NM_144925	6.66535393728	801	46	108
Npr1	NM_008727	0.0	0	0	0
Serpine2	NM_009255	255.267262846	7225	519	1240
Gamt	NM_010255	21.749853184	291	0	0
Serpina3m	NM_009253	17.2937340254	313	121	49
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	0.0	0	0	0
Ahr	NM_013464	0.0	0	0	0
Gla	NM_013463	0.0	0	0	0
Adrb3	NM_013462	0.0	0	0	0
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	10.3741817528	352	0	9
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.0	0	0	0
Herpud1	NM_022331	127.32928536	3377	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	80.8747260137	1767	69	40
Trip6	NM_011639	71.8991983581	1794	121	157
Rpl4	NM_024212	1037.16385951	16405	921	1189
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.0	0	0	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	0.0225419270982	1	0	0
Tysnd1	NM_027912	27.8243379802	902	34	21
Cd276	NM_133983	43.9619554285	1985	14	10
Kazn	NM_144531|NM_001109684|NM_001109685	2.55369786509	124	0	0
Gm4956	NR_002858	0.0	0	0	0
Mlh3	NM_175337	3.41821946886	262	0	1
Gtf2e2	NM_001167921|NM_026584|NM_001167922	34.1483704073	739	20	13
Atxn3	NM_029705|NM_001167914	0.013163474769	1	0	0
Mbtps1	NM_001167910|NM_019709	85.3939065845	5114	187	264
Frem3	NM_001167898	0.0	0	0	0
Cd101	NM_001167906|NM_001099332	0.0	0	0	0
Nrg2	NM_001167891	0.0	0	0	0
Psen1	NM_008943	68.3389434676	2928	305	578
Des	NM_010043	0.0	0	0	0
Kcnip2	NM_145703|NM_145704|NM_030716	0.0	0	0	0
Chd6	NM_173368	1.00882245819	148	0	14
4933415F23Rik	NM_025746	0.0	0	0	0
2610528A11Rik	NM_001206684	0.0	0	0	0
Mir30c-2	NR_029717	0.0	0	0	0
Slc16a5	NM_001080934	0.0	0	0	0
Defa26	NM_001079933	0.0	0	0	0
Mrpl45	NM_025927	34.4056770477	1085	206	34
Smap1	NM_028534	18.9199577756	355	0	6
Fbxo18	NM_015792	18.8839298203	941	139	0
Fbxo8	NM_015791	30.6570497441	1533	28	71
Pnpla6	NM_015801|NM_001122818	0.0	0	0	0
Dkkl1	NM_015789	0.0	0	0	0
Prdm16	NM_001177995|NM_027504	0.0	0	0	0
