#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.0	0	0	0
Gbp7	NM_001083312|NM_145545	6.25138277383	34	7	8
Arrdc1	NM_001162485|NM_178408|NR_027876	0.0	0	0	0
Ercc5	NM_011729	3.47466943567	14	5	0
Mrpl15	NR_033530|NM_025300|NM_001177658	70.05168669	217	28	20
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	15.7068694366	22	6	7
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	15.8880038512	97	0	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	91.7417419222	197	20	30
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	2.60217659151	4	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	2.55354649323	12	0	1
St7	NM_022332|NM_001083315	0.0	0	0	0
Gga1	NM_145929	2.95227439168	9	5	2
AW549877	NM_145930	5.67704560453	29	7	33
Stac2	NM_146028	0.0	0	0	0
2610203C22Rik	NR_015470	0.416073626323	1	0	0
Rab3d	NM_031874	0.0	0	0	0
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	1.50490594091	3	0	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	8.55861557939	4	0	0
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	0.0	0	0	0
Sult1b1	NM_019878	10.3193745193	27	0	0
Nfatc3	NM_010901	2.56507196012	16	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	2.58813555968	15	0	0
Arfgef1	NM_001102430	1.57318766601	11	1	1
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	1.96149917691	10	1	8
4930528F23Rik	NM_029197	8.18169306577	14	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	3.41568707553	8	0	0
Ythdf2	NM_145393	15.5005859625	57	0	1
Coro7	NM_030205	6.56267919725	23	4	5
Tmem51	NM_145402	1.59921438842	3	2	2
Tapbpl	NM_145391	29.8164029337	58	12	6
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	13.1363797808	80	15	30
Tmem180	NM_029186	0.0	0	0	0
Zcchc4	NM_030185	0.0	0	0	0
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0	0	0	0
Usp54	NM_030180	0.0	0	0	0
Spata2L	NM_030176	14.2177781778	34	5	6
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	2.13732473818	20	0	0
Mios	NM_145374	2.68694579	10	2	1
Gm5523	NR_004447	9.75912370409	9	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	12.4711778742	41	7	6
Tnrc6a	NM_144925	0.234755400672	2	0	0
Npr1	NM_008727	0.0	0	0	0
Serpine2	NM_009255	5.45478691698	11	6	0
Gamt	NM_010255	117.02556192	111	0	0
Serpina3m	NM_009253	1327.96289294	1839	235	331
Gabrg1	NM_010252	0.20860306712	1	0	0
Ahsg	NM_013465	8515.28268007	12612	37	209
Ahr	NM_013464	6.34030238965	35	5	7
Gla	NM_013463	0.0	0	0	0
Adrb3	NM_013462	0.0	0	0	0
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.0	0	0	0
Herpud1	NM_022331	166.228710518	313	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
