#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.847895169678	26	0	4
Gbp7	NM_001083312|NM_145545	0.0	0	0	0
Arrdc1	NM_001162485|NM_178408|NR_027876	0.352087423416	8	7	0
Ercc5	NM_011729	0.202939896797	11	0	0
Mrpl15	NR_033530|NM_025300|NM_001177658	162.615978533	8078	120	406
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	0.0	0	0	0
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	0.0759045510409	6	0	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.0	0	0	0
Gabra1	NM_010250	36.7081291921	2058	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	38.3132530879	2404	86	121
St7	NM_022332|NM_001083315	0.0	0	0	0
Gga1	NM_145929	0.293055832643	12	5	0
AW549877	NM_145930	5.276959214	363	0	27
Stac2	NM_146028	0.0	0	0	0
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	0.0	0	0	0
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	0.0	0	0	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	82.1330561428	454	0	11
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	12.1979038361	494	11	0
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	19.2025510729	1546	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	8.99032905255	704	0	0
Arfgef1	NM_001102430	13.3855112698	1260	0	39
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	37.568228036	2571	658	3
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	91.6847485123	4490	31	8
Coro7	NM_030205	0.0	0	0	0
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.30759532962	8	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	32.5719689744	2656	42	212
Tmem180	NM_029186	0.0	0	0	0
Zcchc4	NM_030185	0.0	0	0	0
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0	0	0	0
Usp54	NM_030180	18.5900715131	1579	118	0
Spata2L	NM_030176	0.0	0	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	0.744700986506	94	0	0
Mios	NM_145374	0.0200082309506	1	0	0
Gm5523	NR_004447	0.405512561017	5	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	5.19597608103	252	40	1
Tnrc6a	NM_144925	4.47405108085	514	3	0
Npr1	NM_008727	15.177374416	834	142	168
Serpine2	NM_009255	0.0	0	0	0
Gamt	NM_010255	0.0	0	0	0
Serpina3m	NM_009253	0.0559544049196	1	0	0
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	65.0780353402	1286	0	65
Ahr	NM_013464	0.0	0	0	0
Gla	NM_013463	32.9842119138	1330	0	0
Adrb3	NM_013462	0.0	0	0	0
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.0	0	0	0
Herpud1	NM_022331	0.0	0	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	0.511683756386	11	0	0
Trip6	NM_011639	0.0	0	0	0
Rpl4	NM_024212	3290.24762804	51519	636	366
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.0136833833916	1	0	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	0.0	0	0	0
Tysnd1	NM_027912	0.0324935010791	1	0	0
Cd276	NM_133983	0.0	0	0	0
Kazn	NM_144531|NM_001109684|NM_001109685	4.63830075709	215	0	0
Gm4956	NR_002858	0.0	0	0	0
