#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	10.4022026555	161	32	22
Gbp7	NM_001083312|NM_145545	0.0	0	0	0
Arrdc1	NM_001162485|NM_178408|NR_027876	36.8915495918	430	114	0
Ercc5	NM_011729	0.0366843567414	1	0	0
Mrpl15	NR_033530|NM_025300|NM_001177658	149.099439869	3110	165	174
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0302665091323	1	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	10.4073045776	99	11	0
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	54.2191275963	2286	8	9
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.31056496242	3	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	8.05189079676	256	0	23
St7	NM_022332|NM_001083315	0.0	0	0	0
Gga1	NM_145929	11.6122191143	240	52	45
AW549877	NM_145930	3.09601828226	107	35	0
Stac2	NM_146028	27.9589782794	580	21	33
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	6.29577366776	166	0	41
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	13.9763886066	189	4	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	139.333406119	386	3	16
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	111.566159614	2231	57	269
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	9.67791253507	395	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	3.39286948336	142	0	2
Arfgef1	NM_001102430	1.24574403969	59	0	2
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	16.4982375217	560	45	20
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.252431180666	4	0	0
Ythdf2	NM_145393	38.2831119529	915	0	1
Coro7	NM_030205	0.527179921314	13	0	0
Tmem51	NM_145402	0.0	0	0	0
