#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.0523016801905	1	0	0
Gbp7	NM_001083312|NM_145545	0.0	0	0	0
Arrdc1	NM_001162485|NM_178408|NR_027876	0.0723212801456	1	0	0
Ercc5	NM_011729	0.0591768123595	2	1	0
Mrpl15	NR_033530|NM_025300|NM_001177658	105.091851587	2727	227	171
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0179086951772	1	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	35.5879553625	264	0	79
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	18.7897853139	962	11	1
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.0	0	0	0
Gabra1	NM_010250	3.54719773234	124	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	6.39000792928	250	10	3
St7	NM_022332|NM_001083315	0.0	0	0	0
Gga1	NM_145929	15.6666427582	400	163	1
AW549877	NM_145930	1.09577601931	47	14	0
Stac2	NM_146028	0.350754431062	9	0	0
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	0.0	0	0	0
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	0.0	0	0	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	96.3267776341	332	0	5
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	55.2228233558	1401	210	93
Sult1b1	NM_019878	0.0456818380247	1	0	0
Nfatc3	NM_010901	17.6833092768	888	0	0
