#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.0	0	0	0
Gbp7	NM_001083312|NM_145545	0.0	0	0	0
Arrdc1	NM_001162485|NM_178408|NR_027876	42.804950426	254	51	13
Ercc5	NM_011729	0.0	0	0	0
Mrpl15	NR_033530|NM_025300|NM_001177658	112.242490337	1168	78	61
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	97.0269556944	463	14	77
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	66.3520315231	1443	5	4
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.0	0	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	4.86063305929	79	0	3
St7	NM_022332|NM_001083315	9.275036349	70	0	0
Gga1	NM_145929	6.53831055281	69	6	8
AW549877	NM_145930	0.17088591273	3	0	0
Stac2	NM_146028	18.9960419879	200	5	6
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	1.46032993847	20	0	3
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	0.583860201826	4	0	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	21.7018111381	31	0	4
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	252.915295641	2569	176	126
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	1.06113966061	22	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	1.81734220278	39	0	0
Arfgef1	NM_001102430	0.1676865432	4	0	0
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	29.110236158	502	43	38
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	2.11201596817	17	0	0
Ythdf2	NM_145393	131.611460498	1597	15	1
Coro7	NM_030205	0.0	0	0	0
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.0	0	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	12.5900334826	264	4	50
Tmem180	NM_029186	0.0	0	0	0
Zcchc4	NM_030185	14.6754050729	98	0	7
Rasd2	NM_029182	6.63676376379	63	0	5
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0	0	0	0
Usp54	NM_030180	6.74012826455	146	0	17
Spata2L	NM_030176	0.0	0	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	12.4876228152	402	12	22
Mios	NM_145374	38.4666773142	492	18	49
Gm5523	NR_004447	0.0	0	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	1.86613735263	20	0	0
Tnrc6a	NM_144925	0.102463023979	3	1	0
Npr1	NM_008727	5.91300290007	83	9	0
Serpine2	NM_009255	15.9516337564	110	33	0
Gamt	NM_010255	4.29483606089	14	0	0
Serpina3m	NM_009253	0.0	0	0	0
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	0.0	0	0	0
Ahr	NM_013464	0.0	0	0	0
Gla	NM_013463	27.6319522885	281	0	0
Adrb3	NM_013462	4.98406012373	48	0	1
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.0	0	0	0
Herpud1	NM_022331	0.0	0	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	38.3455387493	204	11	7
Trip6	NM_011639	0.0	0	0	0
Rpl4	NM_024212	1704.74221309	6570	335	422
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.0	0	0	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	0.0	0	0	0
Tysnd1	NM_027912	25.0830020564	198	6	4
Cd276	NM_133983	0.0	0	0	0
Kazn	NM_144531|NM_001109684|NM_001109685	2.9584966859	35	0	0
Gm4956	NR_002858	0.0	0	0	0
Mlh3	NM_175337	12.7715100657	239	28	5
Gtf2e2	NM_001167921|NM_026584|NM_001167922	104.440912903	559	10	10
Atxn3	NM_029705|NM_001167914	69.7595003307	591	49	44
Mbtps1	NM_001167910|NM_019709	28.4796642068	416	5	54
Frem3	NM_001167898	0.0	0	0	0
Cd101	NM_001167906|NM_001099332	0.0	0	0	0
Nrg2	NM_001167891	3.88855020637	38	0	0
Psen1	NM_008943	62.5555120903	653	120	59
Des	NM_010043	0.0	0	0	0
Kcnip2	NM_145703|NM_145704|NM_030716	0.0	0	0	0
Chd6	NM_173368	3.98678765965	143	9	0
4933415F23Rik	NM_025746	0.0	0	0	0
2610528A11Rik	NM_001206684	0.0	0	0	0
Mir30c-2	NR_029717	0.0	0	0	0
Slc16a5	NM_001080934	9.3974426127	98	0	19
Defa26	NM_001079933	0.0	0	0	0
Mrpl45	NM_025927	67.7760883925	521	40	68
Smap1	NM_028534	28.8061282996	132	3	0
Fbxo18	NM_015792	8.57081521087	104	0	23
Fbxo8	NM_015791	51.4816705093	627	13	18
Pnpla6	NM_015801|NM_001122818	19.2171310052	295	30	18
Dkkl1	NM_015789	53.8780762987	168	20	32
Prdm16	NM_001177995|NM_027504	0.343528616206	10	0	0
Zmym3	NM_019831|NM_001177985|NM_001177988|NM_001177986|NM_001177987	20.1541387205	130	8	0
Ccm2	NM_001190343|NM_146014|NM_001190344	24.6862004595	150	19	17
Ccr6	NM_001190333|NM_009835|NM_001190335|NM_001190334|NM_001190337|NM_001190336|NM_001190338	0.0	0	0	0
Ube2r2	NM_026275	1.96735502789	23	0	0
Rspry1	NM_026274	0.0	0	0	0
Csprs	NM_033616	0.0	0	0	0
Rnf41	NM_026259|NM_001164237	1.65444846952	25	4	0
4931408C20Rik	NM_001033764	0.0	0	0	0
LOC100302688	NM_001164374	0.0	0	0	0
Gm13363	NR_002688	0.0	0	0	0
4931428L18Rik	NR_033445	0.0	0	0	0
Mapk14	NM_011951|NM_001168508|NM_001168514|NM_001168513	26.527133343	327	43	20
Gm4850	NR_015347	0.0	0	0	0
Khdrbs2	NM_133235	0.0	0	0	0
Gm9839	NM_001199956	0.0	0	0	0
Btnl3	NM_001111094	0.0	0	0	0
1700001G17Rik	NR_033199	0.0	0	0	0
Synj2	NM_001113352|NM_001113353|NM_001113351|NM_011523	0.0	0	0	0
Tspyl4	NM_030203	0.0	0	0	0
4930562C15Rik	NM_030192	0.0	0	0	0
Dopey2	NM_027293|NM_026700	0.672923622443	17	0	1
Rbm42	NM_133693	347.13904289	2039	37	72
Manba	NM_027288	0.0	0	0	0
Prpf6	NM_133701	136.559928508	1434	27	9
Dnajb4	NM_027287|NM_025926	0.0	0	0	0
Cxxc5	NM_133687	0.0	0	0	0
Mosc2	NM_133684	50.4445342609	328	22	128
Tmem19	NM_133683	0.673699774257	7	5	0
2810432D09Rik	NM_027278	11.0453267263	32	0	0
Ptcd3	NM_027275	140.493089865	1045	76	28
Osgep	NM_133676	55.6912807895	235	63	47
Apitd1	NM_027263	11.6976008995	37	2	7
Tor1b	NM_133673	108.948274698	1128	144	123
Sult1a1	NM_133670	0.0	0	0	0
Zfp119b	NM_146249	0.0	0	0	0
Spred2	NM_033523	0.967972713684	9	0	0
Laptm4b	NM_033521	12.5296897425	71	0	1
Gm3448	NM_001123367	0.0	0	0	0
Zbtb40	NM_198248	4.16755385441	104	9	16
AA619741	NR_033627	0.0	0	0	0
Hist1h1d	NM_145713	0.0	0	0	0
Mtnr1b	NM_145712	0.0	0	0	0
Tox	NM_145711	0.101540904665	1	0	0
Nup43	NM_145706	126.388987317	563	9	34
Tinf2	NM_145705	49.9875707892	300	48	32
Usp44	NM_183199|NM_001206851	0.0	0	0	0
Serpinb9f	NM_183197	0.425874500155	1	0	0
Marveld1	NM_183195	0.0	0	0	0
Reep3	NM_178606|NM_001204915	1.95312155804	33	1	4
Gsdmc3	NM_183194	0.0	0	0	0
Scrt1	NM_130893	0.0	0	0	0
Rtn4ip1	NM_130892	10.5616876039	109	49	0
Grip1	NM_133442|NM_130891|NM_028736	0.0	0	0	0
Arid5a	NR_033310|NM_001172205|NM_001172206|NM_145996	0.0	0	0	0
Scn1a	NM_018733	0.0	0	0	0
Lce1d	NM_027137	0.0	0	0	0
Rpl36	NM_018730	54.7881789389	7	6	0
Cd244	NM_018729	0.0	0	0	0
Cnnm4	NM_033570	18.6630491168	294	20	7
Rbbp4	NM_009030	39.2271974932	509	24	33
Gcnt2	NM_023887|NM_008105|NM_133219	0.0	0	0	0
Zfp704	NM_133218	0.0421688620467	2	0	0
Cep63	NM_001081122	23.5779035212	220	0	0
Oc90	NM_010953	0.0	0	0	0
Adam7	NM_007402	0.0	0	0	0
Il4i1	NM_010215	0.0	0	4	0
Irak2	NM_172161|NM_001113553	14.7436278188	134	2	30
Lcor	NM_172154	0.341576373704	6	0	0
Mpst	NM_001162493|NM_001162492|NM_138670	0.0	0	0	0
Crisp2	NM_001204071|NM_009420	0.0	0	0	0
Kif9	NM_010628|NM_001163569	8.88945633868	97	0	6
Mtpn	NM_008098	134.954554709	1803	90	132
Gdf3	NM_008108	24.2744302092	172	4	16
Gcdh	NM_008097|NM_001044744	57.9872384472	433	34	27
Tgm1	NM_019984|NM_001161714|NM_001161715	0.0	0	0	0
4933402J07Rik	NM_177901	0.0	0	0	0
Mgat4a	NM_173870	2.42218410191	59	0	0
Dnaja2	NM_019794	210.336100436	2062	76	145
4930594C11Rik	NR_024017	3.86842627323	36	0	0
2010300C02Rik	NM_028096	1.64741576192	24	0	0
Lnpep	NM_172827	0.950223744797	17	0	0
Dact2	NM_172826	0.0	0	0	0
Ccdc14	NM_172824	3.1378043279	45	4	1
Lmln	NM_172823	2.14853737125	31	0	2
Atp8b5	NM_177195	0.0647283549633	1	0	0
Agbl2	NM_178755	0.0	0	0	0
Spin4	NM_178753	0.0	0	0	0
Lonrf2	NM_001029878	0.0	0	0	0
Ap1m2	NM_009678|NM_001110300	76.4951277244	458	24	54
Ap1g1	NM_009677	39.0827471464	920	156	38
Lgals8	NM_018886|NM_001199043	179.989654153	1704	15	89
Camkk1	NM_018883	0.0	0	0	0
Mid1ip1	NM_026524|NM_001166635	0.0	0	0	0
Nmb	NM_026523	0.0	0	0	0
Chid1	NM_026522|NM_001142681	13.4376323525	172	24	0
Ddx19b	NM_001190800|NM_172284|NM_001190786	9.78664802037	196	2	5
D1Bwg0212e	NM_028043	7.91165495601	85	0	18
Snord89	NR_028555	0.0	0	0	0
Mef2b	NM_001045484|NM_008578	1.7658210982	8	0	5
Rfx8	NM_001145660	0.0	0	0	0
Gm13718	NM_001145100	38.6554072388	392	0	10
Tnik	NM_001163007|NM_026910|NM_001163008|NM_001163009	0.0	0	0	0
Eif2ak3	NM_010121	20.4552401743	318	17	45
Sar1a	NM_009120	139.733318894	1256	58	155
Sap18	NM_009119	0.963049606995	9	0	0
Eif1a	NM_010120	141.330727308	1325	0	0
Ehd1	NM_010119	55.061209731	605	0	0
Egr2	NM_010118	0.0	0	0	0
Cops6	NM_012002	412.685626238	1559	42	45
Tekt2	NM_011902	20.5468768214	106	9	0
Cyp4f13	NM_130882	0.0	0	0	0
Pabpc4	NM_130881|NM_148917	160.910131744	404	29	0
Mfsd9	NM_172499	0.0	0	0	0
A1bg	NM_001081067	0.0	0	0	0
2610017I09Rik	NR_027826	0.0	0	0	0
2900092D14Rik	NR_027891	0.0	0	0	0
Abcc9	NM_011511|NM_021041|NM_001044720|NM_021042	0.0	0	0	0
AI597479	NM_133818	22.0735299213	264	27	25
Cox7a2l	NM_001159529|NM_009187	89.6364424136	137	1	38
Fbxo6	NM_001163704|NM_015797|NM_001163707|NM_001163706|NM_001163705	68.5451876944	294	5	8
Jazf1	NM_001168277|NM_173406	0.0	0	0	0
Tcn2	NM_001130459|NM_015749|NM_001130458	18.7496795617	128	22	0
Neu2	NM_001160164|NM_001160163|NM_001160165|NM_015750	0.0	0	0	0
Slit1	NM_015748	0.0	0	0	0
Slc20a1	NM_015747|NM_001159593	32.2648607081	368	0	54
Il5	NM_010558	0.0	0	0	0
Zfp46	NM_009557	3.56212680751	57	14	1
Il3	NM_010556	0.0	0	0	0
Ccs	NM_016892	35.6171294359	130	1	4
Gm4894	NM_177701	0.0	0	0	0
Syt7	NM_173068|NM_173067|NM_018801	0.0	0	0	0
Nlrp2	NM_177690	0.0	0	0	0
Clec12a	NM_177686	0.0	0	0	0
4930503L19Rik	NM_172967	20.0352482002	159	92	0
Sh3rf2	NM_172966|NM_001146299	0.0	0	0	0
Dnajc5g	NM_177677	9.25468953733	48	11	0
Sap130	NM_172965	9.1242153184	127	10	7
Wdr75	NM_028599	97.7580097737	864	122	102
Dcdc2c	NM_001177964	0.0	0	0	0
Gm4776	NR_037690|NR_037691	0.0	0	0	0
Dnahc7b	NM_001160386	0.0	0	0	0
Sema6a	NM_018744	4.56054582843	108	0	10
Bet1l	NM_018742	15.394046043	83	17	2
Rp9	NM_018739	49.2387064509	194	46	6
Wdr20a	NM_027149	12.6986268953	77	3	6
Trip13	NM_027182	165.747274586	1298	95	65
Exosc8	NM_027148|NM_001163570	89.5665231918	397	60	50
Ctps2	NM_001168568|NM_018737|NM_001168571|NM_001168569|NR_033143	8.40519202101	159	25	0
Mre11a	NM_018736	16.1957066903	168	28	24
Gbp3	NM_018734	0.0	0	0	0
Gm711	NM_198628	0.0	0	0	0
4430402I18Rik	NM_198651	0.0	0	0	0
Galntl6	NM_175032	0.0	0	0	0
Casp8	NM_009812|NM_001080126	0.0	0	0	0
Rtkn2	NM_001081346	0.595873786226	8	2	0
Capn3	NM_007601|NM_001177799|NM_001109761	0.0	0	0	0
Arhgap1	NR_027371|NR_027373|NR_027372|NM_001145902|NM_146124	85.9792770256	700	46	82
Serpina3n	NM_009252	0.0	0	0	0
Polh	NM_030715	2.58165782265	23	0	0
Dtx3	NM_030714	1.93658980523	13	0	0
Pitpnc1	NM_145823	0.458800158596	10	0	0
Veph1	NM_145820|NM_028357	0.0516967033748	1	0	0
1700019A02Rik	NM_027070	0.0	0	0	0
Prelid1	NM_025596	122.279647253	215	16	4
Mrpl51	NM_025595	40.9435897367	158	52	0
1700029H14Rik	NM_025601|NM_001080781	0.0	0	0	0
Rpl36al	NM_025589	218.370027485	140	0	0
Dda1	NM_025600	66.1490044804	408	0	0
Zfp346	NM_012017	6.19927406954	77	0	15
Xrn2	NM_011917	54.4764992115	633	21	26
1700029F12Rik	NM_025585|NM_001080777	0.0	0	0	0
2310061N02Rik	NM_027155	0.0	0	0	0
Ccdc150	NM_030025	0.0	0	0	0
Gtf3c3	NM_001033194	26.0587048682	217	27	1
Slc2a9	NM_001102415|NM_001102414|NM_145559|NM_001012363	0.0	0	0	0
Kng1	NM_001102412|NM_001102411|NM_023125	100.734455826	597	61	24
Smarca2	NM_011416|NM_026003	0.0	0	0	0
Mtdh	NM_026002	19.8525175045	252	0	0
Cisd2	NM_025902	18.997328213	187	0	3
Rnaseh2b	NM_026001	69.9638437592	352	31	79
Smarcd3	NM_025891	0.0	0	0	0
Mobkl3	NM_025283	83.8446550459	755	4	8
Chrm4	NM_007699	0.0	0	0	0
Bcl2l13	NM_153516	21.8230709651	522	70	43
