#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	21.6825383101	313	39	0
Gbp7	NM_001083312|NM_145545	7.96123248037	274	58	0
Arrdc1	NM_001162485|NM_178408|NR_027876	9.8162788141	105	4	2
Ercc5	NM_011729	2.9784162469	76	9	1
Mrpl15	NR_033530|NM_025300|NM_001177658	5.0586618181	135	1	4
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	0.0	0	0	0
Gm101	NM_001115074	0.502106072285	8	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	186.895847378	7238	2	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.102161039798	1	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	39.3723439972	1163	88	0
St7	NM_022332|NM_001083315	2.98124030139	41	0	0
Gga1	NM_145929	0.466883707229	9	1	0
AW549877	NM_145930	0.0	0	0	0
Stac2	NM_146028	58.7942185691	1139	2	17
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	50.6115010315	1251	279	0
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	1.9898987492	25	0	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	12.2972810867	32	0	0
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	104.41044787	2000	83	62
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	34.7364020187	1317	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	3.95914772529	146	0	0
Arfgef1	NM_001102430	111.986025006	4969	223	0
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	3.43537112898	106	7	2
4930528F23Rik	NM_029197	0.0928776974024	1	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	204.671983021	4758	27	13
Coro7	NM_030205	0.0	0	0	0
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.0815890558857	1	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	2.97853235595	45	0	0
Ube4a	NM_145400	0.234452768116	9	0	0
Tmem180	NM_029186	0.0	0	0	0
Zcchc4	NM_030185	0.0	0	0	0
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0	0	0	0
Usp54	NM_030180	22.8331829204	913	33	14
Spata2L	NM_030176	0.0	0	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	32.6477032132	1940	105	17
Mios	NM_145374	11.6879516256	275	31	0
Gm5523	NR_004447	2.52275652851	15	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	2.02815852262	40	0	0
Tnrc6a	NM_144925	16.5484596786	895	7	0
Npr1	NM_008727	0.966423893083	25	0	0
Serpine2	NM_009255	14.3975534907	183	26	0
Gamt	NM_010255	0.0	0	0	0
Serpina3m	NM_009253	0.0	0	0	0
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	0.0	0	0	0
Ahr	NM_013464	0.0854055713783	3	0	0
Gla	NM_013463	72.8742771381	1388	2	0
Adrb3	NM_013462	1.24852479695	22	0	0
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	2.4217709875	48	0	0
Herpud1	NM_022331	0.0	0	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	14.3521009316	149	5	10
Trip6	NM_011639	0.0	0	0	0
Rpl4	NM_024212	481.69022143	3594	94	102
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.0290663525174	1	0	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	0.0	0	0	0
Tysnd1	NM_027912	0.0	0	0	0
Cd276	NM_133983	0.0	0	0	0
Kazn	NM_144531|NM_001109684|NM_001109685	5.31588093098	116	0	0
Gm4956	NR_002858	0.986344823645	7	0	0
Mlh3	NM_175337	0.0	0	0	0
Gtf2e2	NM_001167921|NM_026584|NM_001167922	82.1690863251	772	12	5
Atxn3	NM_029705|NM_001167914	80.8988559292	604	29	31
Mbtps1	NM_001167910|NM_019709	16.6966988208	451	18	2
Frem3	NM_001167898	0.0	0	0	0
Cd101	NM_001167906|NM_001099332	0.0	0	0	0
Nrg2	NM_001167891	0.0	0	0	0
Psen1	NM_008943	0.676857041095	13	2	0
Des	NM_010043	0.734300735549	10	0	0
Kcnip2	NM_145703|NM_145704|NM_030716	0.0	0	0	0
Chd6	NM_173368	8.5850131712	572	31	0
4933415F23Rik	NM_025746	0.0895284994794	1	0	0
2610528A11Rik	NM_001206684	0.0	0	0	0
Mir30c-2	NR_029717	0.0	0	0	0
Slc16a5	NM_001080934	0.0	0	0	0
Defa26	NM_001079933	0.0	0	0	0
Mrpl45	NM_025927	21.0627100627	310	16	27
Smap1	NM_028534	11.8127179432	79	2	0
Fbxo18	NM_015792	35.8300693122	805	72	0
Fbxo8	NM_015791	65.6094543867	1391	52	7
Pnpla6	NM_015801|NM_001122818	3.43321701996	97	6	0
Dkkl1	NM_015789	0.353859822904	2	0	0
Prdm16	NM_001177995|NM_027504	3.07079913254	165	5	0
Zmym3	NM_019831|NM_001177985|NM_001177988|NM_001177986|NM_001177987	5.44839955336	178	18	0
Ccm2	NM_001190343|NM_146014|NM_001190344	4.49352530821	44	7	0
Ccr6	NM_001190333|NM_009835|NM_001190335|NM_001190334|NM_001190337|NM_001190336|NM_001190338	0.0	0	0	0
Ube2r2	NM_026275	26.2180819731	552	1	0
Rspry1	NM_026274	9.35169350964	229	27	0
Csprs	NM_033616	0.0	0	0	0
Rnf41	NM_026259|NM_001164237	17.9088223826	499	57	19
4931408C20Rik	NM_001033764	3.66350005298	101	0	0
LOC100302688	NM_001164374	0.0	0	0	0
Gm13363	NR_002688	0.0	0	0	0
4931428L18Rik	NR_033445	0.181446607819	1	0	0
Mapk14	NM_011951|NM_001168508|NM_001168514|NM_001168513	29.5647022206	557	11	11
Gm4850	NR_015347	1219.8409419	6637	39	41
Khdrbs2	NM_133235	0.0	0	0	0
Gm9839	NM_001199956	0.0	0	0	0
Btnl3	NM_001111094	0.0	0	0	0
1700001G17Rik	NR_033199	0.89888536055	5	0	0
Synj2	NM_001113352|NM_001113353|NM_001113351|NM_011523	1.40120940624	45	5	0
Tspyl4	NM_030203	26.7824134737	662	165	54
4930562C15Rik	NM_030192	0.0	0	0	0
Dopey2	NM_027293|NM_026700	5.16566481492	241	49	0
Rbm42	NM_133693	59.3264295628	638	8	13
Manba	NM_027288	1.58331700163	37	6	0
Prpf6	NM_133701	14.527849588	282	3	2
