#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.676764971996	25	0	4
Gbp7	NM_001083312|NM_145545	5.01577140212	441	63	112
Arrdc1	NM_001162485|NM_178408|NR_027876	0.601045250007	17	1	2
Ercc5	NM_011729	2.86654035744	187	36	25
Mrpl15	NR_033530|NM_025300|NM_001177658	49.7931745523	2593	190	185
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0126812139	1	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	9.28583533208	208	34	23
Gm101	NM_001115074	0.196366231622	8	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	5.21380079511	514	0	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	96.1859279019	3335	97	142
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	6.56701537905	163	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	4.25656042432	323	15	16
St7	NM_022332|NM_001083315	0.681671646149	24	0	0
Gga1	NM_145929	3.62615363257	179	20	28
AW549877	NM_145930	4.4371000814	366	46	80
Stac2	NM_146028	0.0	0	0	0
2610203C22Rik	NR_015470	0.334970867729	7	0	0
Rab3d	NM_031874	1.57792587551	99	3	61
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0168708610813	1	0	0
Phf7	NM_027949	1.4134917285	46	3	1
6030422M02Rik	NM_177722	0.0899237205934	4	0	6
Snhg6	NR_024067	9.61618833734	64	1	0
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	0.306650528636	15	0	5
Sult1b1	NM_019878	15.7991771648	668	0	0
Nfatc3	NM_010901	1.59364742392	156	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	4.15508289338	407	1	1
Arfgef1	NM_001102430	1.975092411	223	13	12
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	3.77177430583	311	71	58
4930528F23Rik	NM_029197	4.68682441581	130	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.29085360618	11	0	0
Ythdf2	NM_145393	10.0036546398	594	6	3
Coro7	NM_030205	4.65615823579	264	29	11
Tmem51	NM_145402	1.84870356466	56	9	7
Tapbpl	NM_145391	9.80556294653	308	13	53
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	8.21149007178	808	82	127
Tmem180	NM_029186	1.85173699214	69	1	6
Zcchc4	NM_030185	1.6497789162	52	4	1
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0522431296192	2	0	0
Usp54	NM_030180	0.265284820601	27	0	0
Spata2L	NM_030176	5.90447700202	228	23	11
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	1.37656809712	208	4	14
Mios	NM_145374	2.0633568487	124	11	19
Gm5523	NR_004447	4.76805117244	71	0	0
