#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	0.0	0	0	0
Gbp7	NM_001083312|NM_145545	0.0	0	0	0
Arrdc1	NM_001162485|NM_178408|NR_027876	0.0	0	0	0
Ercc5	NM_011729	17.3987851834	1026	0	261
Mrpl15	NR_033530|NM_025300|NM_001177658	40.2082704966	1952	57	116
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	77.9309059197	7339	0	23
Tssc4	NM_001115085|NM_020285|NM_138631	107.036926238	2166	192	261
Gm101	NM_001115074	0.0	0	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	16.0260472588	1432	0	0
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.765670449385	16	0	0
Gabra1	NM_010250	0.00819883047817	1	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	17.787320426	1231	49	7
St7	NM_022332|NM_001083315	0.0313369124359	1	0	0
Gga1	NM_145929	4.93086420465	220	61	55
AW549877	NM_145930	15.007323797	1122	341	27
Stac2	NM_146028	0.0	0	0	0
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	0.0	0	0	0
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	6.08376776588	178	0	0
6030422M02Rik	NM_177722	0.0	0	0	0
Snhg6	NR_024067	148.950812377	892	0	47
Snord87	NR_004410	0.0	0	0	0
Nek2	NM_010892	35.387855671	1531	99	162
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	0.0	0	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	6.28469823831	567	10	0
Arfgef1	NM_001102430	10.2671029654	1043	36	22
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	1.64079546422	121	0	1
4930528F23Rik	NM_029197	0.0	0	0	0
4930544O15Rik	NM_029196	0.0	0	0	0
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	32.9555700842	1703	1	2
Coro7	NM_030205	0.0	0	0	0
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	2.45382993199	70	29	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	0.286096031949	26	0	6
Tmem180	NM_029186	0.0	0	0	0
Zcchc4	NM_030185	0.0	0	0	0
Rasd2	NM_029182	0.0	0	0	0
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0167696917351	1	0	0
Usp54	NM_030180	0.0	0	0	0
Spata2L	NM_030176	5.40008735182	189	0	44
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	11.6232145449	1592	87	56
Mios	NM_145374	16.9819161682	925	120	112
Gm5523	NR_004447	1.3824874203	16	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	0
Jakmip2	NM_001163637	0.0387691562063	2	0	0
Pus10	NM_028956|NM_001033654|NM_028304	23.585931487	1077	62	39
Tnrc6a	NM_144925	8.11618270854	1012	120	58
Npr1	NM_008727	0.0	0	0	0
Serpine2	NM_009255	137.142929491	4028	377	685
Gamt	NM_010255	81.4356393369	1131	0	0
Serpina3m	NM_009253	1.8637732964	35	6	48
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	0.0	0	0	0
Ahr	NM_013464	0.365131497922	30	0	0
Gla	NM_013463	0.0	0	0	0
Adrb3	NM_013462	0.0	0	0	0
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	7.38524895419	260	12	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.0	0	0	0
Herpud1	NM_022331	51.7913241475	1425	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	242.72988633	5486	315	270
Trip6	NM_011639	98.4663655194	2549	328	164
Rpl4	NM_024212	1560.15606146	25605	1565	2096
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.0	0	0	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	14.5778730522	671	0	118
Tysnd1	NM_027912	21.6258966272	727	13	22
Cd276	NM_133983	21.0515179234	986	21	0
Kazn	NM_144531|NM_001109684|NM_001109685	0.0	0	0	0
Gm4956	NR_002858	0.0	0	0	0
Mlh3	NM_175337	14.1459388839	1125	23	168
Gtf2e2	NM_001167921|NM_026584|NM_001167922	47.4777773134	1052	5	19
Atxn3	NM_029705|NM_001167914	5.29672747092	418	0	43
Mbtps1	NM_001167910|NM_019709	35.4490941347	2203	133	25
Frem3	NM_001167898	0.0	0	0	0
Cd101	NM_001167906|NM_001099332	0.0	0	0	0
Nrg2	NM_001167891	0.0240286572388	1	0	0
Psen1	NM_008943	26.2511689327	1167	272	51
Des	NM_010043	0.0316431363359	1	0	0
Kcnip2	NM_145703|NM_145704|NM_030716	0.0	0	0	0
Chd6	NM_173368	4.16507558604	634	100	0
4933415F23Rik	NM_025746	0.0	0	0	0
2610528A11Rik	NM_001206684	0.0	0	0	0
Mir30c-2	NR_029717	0.0	0	0	0
Slc16a5	NM_001080934	0.0	0	0	0
Defa26	NM_001079933	0.0	0	0	0
Mrpl45	NM_025927	33.5571974975	1098	173	96
Smap1	NM_028534	24.2787612731	472	0	5
Fbxo18	NM_015792	2.58342255211	134	5	0
Fbxo8	NM_015791	0.0192801531006	1	0	0
Pnpla6	NM_015801|NM_001122818	0.0	0	0	0
Dkkl1	NM_015789	0.0	0	0	0
Prdm16	NM_001177995|NM_027504	0.0	0	0	0
Zmym3	NM_019831|NM_001177985|NM_001177988|NM_001177986|NM_001177987	5.7031523222	475	39	1
Ccm2	NM_001190343|NM_146014|NM_001190344	57.4471422999	1563	228	93
Ccr6	NM_001190333|NM_009835|NM_001190335|NM_001190334|NM_001190337|NM_001190336|NM_001190338	0.0	0	0	0
Ube2r2	NM_026275	38.7741779358	1889	24	26
Rspry1	NM_026274	5.20299401035	295	2	21
Csprs	NM_033616	0.0	0	0	0
Rnf41	NM_026259|NM_001164237	7.09380761964	457	65	0
4931408C20Rik	NM_001033764	0.0	0	0	0
LOC100302688	NM_001164374	0.0	0	0	0
Gm13363	NR_002688	0.0	0	0	0
4931428L18Rik	NR_033445	0.0	0	0	0
Mapk14	NM_011951|NM_001168508|NM_001168514|NM_001168513	28.5039833776	1274	37	174
Gm4850	NR_015347	0.0	0	0	0
Khdrbs2	NM_133235	0.0	0	0	0
Gm9839	NM_001199956	0.0	0	0	0
Btnl3	NM_001111094	0.0	0	0	0
1700001G17Rik	NR_033199	0.0	0	0	0
Synj2	NM_001113352|NM_001113353|NM_001113351|NM_011523	0.0557614651792	4	0	0
Tspyl4	NM_030203	0.0	0	0	0
4930562C15Rik	NM_030192	0.0	0	0	0
Dopey2	NM_027293|NM_026700	0.422915534357	46	0	28
Rbm42	NM_133693	60.4853993408	1513	95	21
Manba	NM_027288	0.0	0	0	0
Prpf6	NM_133701	15.0380597634	673	19	16
Dnajb4	NM_027287|NM_025926	15.9507048099	578	153	0
Cxxc5	NM_133687	29.6906211206	992	13	0
Mosc2	NM_133684	49.2583694403	1364	315	265
Tmem19	NM_133683	12.6781711838	561	83	135
2810432D09Rik	NM_027278	84.0085102925	1037	0	0
Ptcd3	NM_027275	21.3194345056	675	71	0
Osgep	NM_133676	31.7468310491	571	144	183
Apitd1	NM_027263	44.1710201874	595	0	170
Tor1b	NM_133673	37.8237683272	1667	134	222
Sult1a1	NM_133670	0.0	0	0	0
Zfp119b	NM_146249	0.0	0	0	0
Spred2	NM_033523	0.0	0	0	0
Laptm4b	NM_033521	20.4293371682	493	21	6
Gm3448	NM_001123367	0.0	0	0	0
Zbtb40	NM_198248	0.0	0	0	0
AA619741	NR_033627	0.0	0	0	0
Hist1h1d	NM_145713	2.92268338048	120	0	0
Mtnr1b	NM_145712	0.0	0	0	0
Tox	NM_145711	6.68804647477	281	10	15
Nup43	NM_145706	69.4770928538	1318	82	96
Tinf2	NM_145705	8.54904507878	219	18	20
Usp44	NM_183199|NM_001206851	0.0	0	0	0
Serpinb9f	NM_183197	4.80007764606	24	0	0
Marveld1	NM_183195	12.1709686346	545	1	226
Reep3	NM_178606|NM_001204915	14.2728652535	1027	210	217
Gsdmc3	NM_183194	0.0	0	0	0
Scrt1	NM_130893	0.0	0	0	0
Rtn4ip1	NM_130892	10.2630231575	449	1	269
Grip1	NM_133442|NM_130891|NM_028736	0.0	0	0	0
Arid5a	NR_033310|NM_001172205|NM_001172206|NM_145996	0.0	0	0	0
Scn1a	NM_018733	0.0	0	0	0
Lce1d	NM_027137	0.0	0	0	0
Rpl36	NM_018730	53.2981594484	29	74	0
Cd244	NM_018729	0.0	0	0	0
Cnnm4	NM_033570	0.0	0	0	0
Rbbp4	NM_009030	75.2196504239	4153	155	147
Gcnt2	NM_023887|NM_008105|NM_133219	0.0	0	0	0
Zfp704	NM_133218	0.960481499619	194	17	0
Cep63	NM_001081122	14.465367523	574	0	0
Oc90	NM_010953	0.0	0	0	0
Adam7	NM_007402	0.0	0	0	0
Il4i1	NM_010215	0.0	0	0	0
Irak2	NM_172161|NM_001113553	0.0	0	0	0
Lcor	NM_172154	0.831237979669	57	0	0
Mpst	NM_001162493|NM_001162492|NM_138670	0.0	0	0	0
Crisp2	NM_001204071|NM_009420	0.0	0	0	0
Kif9	NM_010628|NM_001163569	0.0	0	0	0
Mtpn	NM_008098	236.747174156	13470	768	746
Gdf3	NM_008108	0.0	0	0	0
Gcdh	NM_008097|NM_001044744	19.7748501573	628	110	5
Tgm1	NM_019984|NM_001161714|NM_001161715	0.0	0	0	0
4933402J07Rik	NM_177901	0.0	0	0	0
Mgat4a	NM_173870	1.17608945675	122	0	0
Dnaja2	NM_019794	154.33782591	6444	214	299
4930594C11Rik	NR_024017	1.21115143812	48	0	0
2010300C02Rik	NM_028096	0.0	0	0	0
Lnpep	NM_172827	0.0525003667137	4	0	0
Dact2	NM_172826	0.0	0	0	0
Ccdc14	NM_172824	1.34114660308	81	27	1
Lmln	NM_172823	0.0	0	0	0
Atp8b5	NM_177195	0.0	0	0	0
Agbl2	NM_178755	0.0	0	0	0
Spin4	NM_178753	0.0	0	0	0
Lonrf2	NM_001029878	0.0	0	0	0
Ap1m2	NM_009678|NM_001110300	0.0392616050727	1	0	0
Ap1g1	NM_009677	6.10483690647	612	71	38
Lgals8	NM_018886|NM_001199043	35.767782181	1440	67	152
Camkk1	NM_018883	0.0	0	0	0
Mid1ip1	NM_026524|NM_001166635	17.8767494319	541	0	0
Nmb	NM_026523	0.0	0	0	0
Chid1	NM_026522|NM_001142681	19.5116812085	1061	44	14
Ddx19b	NM_001190800|NM_172284|NM_001190786	0.0	0	0	0
D1Bwg0212e	NM_028043	14.4004915909	655	39	45
Snord89	NR_028555	0.0	0	0	0
Mef2b	NM_001045484|NM_008578	0.0	0	0	0
Rfx8	NM_001145660	0.0	0	0	0
Gm13718	NM_001145100	0.0	0	0	0
Tnik	NM_001163007|NM_026910|NM_001163008|NM_001163009	0.0	0	0	0
Eif2ak3	NM_010121	3.86524606149	256	68	0
Sar1a	NM_009120	237.415831215	9085	1203	856
Sap18	NM_009119	27.6819814301	1041	142	91
Eif1a	NM_010120	94.9761219693	3792	0	0
Ehd1	NM_010119	7.86436354331	368	0	0
Egr2	NM_010118	0.0	0	0	0
Cops6	NM_012002	306.31574107	4928	151	99
Tekt2	NM_011902	0.0	0	0	0
Cyp4f13	NM_130882	5.27380793686	128	0	0
Pabpc4	NM_130881|NM_148917	29.3478460866	297	0	0
Mfsd9	NM_172499	0.0	0	0	0
A1bg	NM_001081067	0.0	0	0	0
2610017I09Rik	NR_027826	0.0	0	0	0
2900092D14Rik	NR_027891	0.0	0	0	0
Abcc9	NM_011511|NM_021041|NM_001044720|NM_021042	0.0	0	0	0
AI597479	NM_133818	0.0	0	0	0
Cox7a2l	NM_001159529|NM_009187	72.4728276494	470	72	54
Fbxo6	NM_001163704|NM_015797|NM_001163707|NM_001163706|NM_001163705	83.5700705846	1427	68	78
Jazf1	NM_001168277|NM_173406	0.0	0	0	0
Tcn2	NM_001130459|NM_015749|NM_001130458	0.0	0	0	0
Neu2	NM_001160164|NM_001160163|NM_001160165|NM_015750	0.0	0	0	0
Slit1	NM_015748	0.0	0	0	0
Slc20a1	NM_015747|NM_001159593	0.0720568725252	4	0	0
Il5	NM_010558	0.0	0	0	0
Zfp46	NM_009557	3.05227207533	208	39	2
Il3	NM_010556	0.0	0	0	0
Ccs	NM_016892	71.314304006	1109	95	39
Gm4894	NM_177701	0.0	0	0	0
Syt7	NM_173068|NM_173067|NM_018801	0.00536879046154	1	0	0
Nlrp2	NM_177690	0.0	0	0	0
Clec12a	NM_177686	0.0	0	0	0
4930503L19Rik	NM_172967	17.6013322967	593	216	157
Sh3rf2	NM_172966|NM_001146299	0.0	0	0	0
Dnajc5g	NM_177677	0.0	0	0	0
Sap130	NM_172965	5.2842697872	312	1	47
Wdr75	NM_028599	39.3837488777	1482	204	336
Dcdc2c	NM_001177964	0.0	0	0	0
Gm4776	NR_037690|NR_037691	0.0	0	0	0
Dnahc7b	NM_001160386	0.28104182328	26	0	0
Sema6a	NM_018744	0.00991558763282	1	0	0
Bet1l	NM_018742	36.1913070801	826	84	67
Rp9	NM_018739	9.89323628191	166	0	21
Wdr20a	NM_027149	18.7428999961	484	6	15
Trip13	NM_027182	63.3667065374	2113	81	253
Exosc8	NM_027148|NM_001163570	101.19849135	1897	405	166
Ctps2	NM_001168568|NM_018737|NM_001168571|NM_001168569|NR_033143	5.03804684746	422	13	0
Mre11a	NM_018736	15.5967902431	689	74	106
Gbp3	NM_018734	0.0	0	0	0
Gm711	NM_198628	0.0	0	0	0
4430402I18Rik	NM_198651	0.0	0	0	0
Galntl6	NM_175032	0.0	0	0	0
Casp8	NM_009812|NM_001080126	25.5355080253	910	28	105
Rtkn2	NM_001081346	5.23825345828	300	74	8
Capn3	NM_007601|NM_001177799|NM_001109761	0.0	0	0	0
Arhgap1	NR_027371|NR_027373|NR_027372|NM_001145902|NM_146124	19.9951012736	712	47	57
Serpina3n	NM_009252	64.2597619566	1761	0	0
Polh	NM_030715	6.40475476611	243	0	7
Dtx3	NM_030714	3.93524884178	113	0	6
Pitpnc1	NM_145823	1.30356988249	121	6	12
Veph1	NM_145820|NM_028357	0.0	0	0	0
1700019A02Rik	NM_027070	0.0	0	0	0
Prelid1	NM_025596	542.469459154	4053	188	201
Mrpl51	NM_025595	126.082829462	2066	244	96
1700029H14Rik	NM_025601|NM_001080781	0.0	0	0	0
Rpl36al	NM_025589	437.780054504	1191	0	0
Dda1	NM_025600	241.872746615	6346	0	0
Zfp346	NM_012017	13.365798635	707	117	137
Xrn2	NM_011917	36.19315604	1791	75	24
1700029F12Rik	NM_025585|NM_001080777	0.0	0	0	0
2310061N02Rik	NM_027155	0.0	0	0	0
Ccdc150	NM_030025	0.0	0	0	0
Gtf3c3	NM_001033194	0.438078574307	16	3	0
Slc2a9	NM_001102415|NM_001102414|NM_145559|NM_001012363	0.0	0	0	0
Kng1	NM_001102412|NM_001102411|NM_023125	10.5332160974	306	0	17
Smarca2	NM_011416|NM_026003	6.37728712612	183	16	0
Mtdh	NM_026002	29.4221299041	1591	0	0
Cisd2	NM_025902	47.8375659415	2000	0	0
Rnaseh2b	NM_026001	105.665401763	2264	233	443
Smarcd3	NM_025891	3.40991023118	87	0	0
Mobkl3	NM_025283	76.9774539365	2950	12	30
