#Gene_symbol	Refseq_IDs	RPKM	reads	CAST_hits	C57_hits
Hvcn1	NM_001042489|NM_028752	21.524858062	1946	699	19
Gbp7	NM_001083312|NM_145545	1.67017306363	361	32	0
Arrdc1	NM_001162485|NM_178408|NR_027876	27.7676214757	1915	401	347
Ercc5	NM_011729	0.0	0	2	1
Mrpl15	NR_033530|NM_025300|NM_001177658	17.0043264457	2523	151	290
Dclk1	NM_019978|NM_001111053|NM_001195538|NM_001111052|NM_001111051|NM_001195539|NM_001195540	0.0	0	0	0
Tssc4	NM_001115085|NM_020285|NM_138631	14.8357563488	799	153	613
Gm101	NM_001115074	0.0200432044474	2	0	0
Pum2	NM_001160222|NM_001160221|NM_001160220|NM_001160219|NR_027670|NM_030723	194.364998129	45719	0	6
Erv3	NM_001166206	0.0	0	0	0
Gm10922	NM_001085554	0.0	0	0	0
Gm14347	NM_001085543	0.0	0	0	0
Dpys	NM_022722|NM_001164466	0.0	0	0	0
Gabra4	NM_010251	0.0	0	0	0
Serpina3g	NM_009251	0.0	0	0	0
Gabra1	NM_010250	0.0	0	0	0
Mapk9	NM_001163671|NM_001163672|NM_016961|NM_207692	24.4765187923	4531	323	71
St7	NM_022332|NM_001083315	0.766282201364	66	0	0
Gga1	NM_145929	8.32461094015	1005	711	89
AW549877	NM_145930	0.00986133593652	2	1	0
Stac2	NM_146028	19.4598084111	2361	15	182
2610203C22Rik	NR_015470	0.0	0	0	0
Rab3d	NM_031874	26.5823649765	4115	2416	16
Tas1r2	NM_031873	0.0	0	0	0
Tekt4	NM_027951	0.0	0	0	0
Slc39a5	NM_028051|NM_001136237|NM_028092	0.0	0	0	0
Phf7	NM_027949	0.241477263484	19	0	0
6030422M02Rik	NM_177722	0.0	0	2	0
Snhg6	NR_024067	34.7915562429	567	0	21
Snord87	NR_004410	17.6045049473	43	0	0
Nek2	NM_010892	158.735672659	19284	1155	964
Sult1b1	NM_019878	0.0	0	0	0
Nfatc3	NM_010901	38.0203688555	9037	0	0
Dlc1	NM_015802|NM_001194940|NM_001194941	0.0216085134865	5	0	0
Arfgef1	NM_001102430	63.8000216735	17783	1782	4
2700078E11Rik	NM_030197|NM_001172097|NM_001172096	0.16396668783	32	6	69
4930528F23Rik	NM_029197	2.22451005605	150	0	0
4930544O15Rik	NM_029196	5.78242694153	185	2	19
Cygb	NM_030206	0.0	0	0	0
Ythdf2	NM_145393	251.819225994	37549	85	97
Coro7	NM_030205	0.0357996456141	5	0	0
Tmem51	NM_145402	0.0	0	0	0
Tapbpl	NM_145391	0.710224365935	55	0	0
Ankrd7	NM_029202|NM_001167757	0.0	0	0	0
4930555I21Rik	NM_030189	0.0	0	0	0
Ube4a	NM_145400	8.65598734614	2081	14	493
Tmem180	NM_029186	0.497046652446	45	10	1
Zcchc4	NM_030185	0.0519206506358	4	0	0
Rasd2	NM_029182	0.0817923277864	9	0	1
Vsig1	NM_030181|NM_026103	0.0	0	0	0
Clip4	NM_175378|NM_030179	0.0	0	0	0
Usp54	NM_030180	18.229222528	4565	934	10
Spata2L	NM_030176	0.0105776504806	1	0	0
Hhipl2	NM_030175	0.0	0	0	0
Rictor	NM_030168	10.0685355961	3747	451	18
Mios	NM_145374	26.6907841421	3933	1394	94
Gm5523	NR_004447	0.0754570055162	3	0	0
Plin1	NM_001113471|NM_175640	0.0	0	0	1
Jakmip2	NM_001163637	0.0	0	0	0
Pus10	NM_028956|NM_001033654|NM_028304	0.016192114842	2	1	5
Tnrc6a	NM_144925	1.53521635022	520	48	1
Npr1	NM_008727	0.808594197246	131	54	1
Serpine2	NM_009255	4.47126131532	357	261	2
Gamt	NM_010255	0.211642650157	8	0	0
Serpina3m	NM_009253	0.0	0	0	0
Gabrg1	NM_010252	0.0	0	0	0
Ahsg	NM_013465	0.0	0	0	0
Ahr	NM_013464	0.0	0	0	0
Gla	NM_013463	51.278043021	6170	0	8
Adrb3	NM_013462	0.0	0	0	0
Adra1a	NM_013461	0.0	0	0	0
Adra1d	NM_013460	0.0	0	0	0
Cfd	NM_013459	0.0	0	0	0
Add2	NM_013458	0.136953277624	17	3	0
Herpud1	NM_022331	0.0	0	0	0
Defb44-ps	NR_002879	0.0	0	0	0
Defb18	NM_001039123	0.0	0	0	0
Defb41	NM_183124	0.0	0	0	0
Gm15386	NM_001040027	0.0	0	0	0
Trp53	NM_011640|NM_001127233	60.2660508782	4080	30	338
Trip6	NM_011639	0.0	0	0	0
Rpl4	NM_024212	409.902146007	19695	881	51
Slc4a10	NM_001242383|NM_001242382|NM_001242381|NM_001242379|NM_033552|NM_001242378|NM_001242380	0.0	0	0	0
Oxt	NM_011025	0.0	0	0	0
Col10a1	NM_009925	1.5319412081	192	0	0
Tysnd1	NM_027912	14.4486737486	1311	142	10
Cd276	NM_133983	0.0	0	0	0
Kazn	NM_144531|NM_001109684|NM_001109685	3.60741287413	499	56	0
Gm4956	NR_002858	0.0449979329232	2	0	0
Mlh3	NM_175337	0.165847491368	36	2	21
Gtf2e2	NM_001167921|NM_026584|NM_001167922	100.448138337	5951	26	155
Atxn3	NM_029705|NM_001167914	126.197498862	9771	711	918
Mbtps1	NM_001167910|NM_019709	24.5047587268	4127	448	19
Frem3	NM_001167898	0.0	0	0	0
Cd101	NM_001167906|NM_001099332	0.0	0	0	0
Nrg2	NM_001167891	0.0	0	0	0
Psen1	NM_008943	22.8206295939	2745	972	431
Des	NM_010043	0.0	0	0	0
Kcnip2	NM_145703|NM_145704|NM_030716	0.0	0	0	0
Chd6	NM_173368	2.32593719244	974	65	5
4933415F23Rik	NM_025746	0.0	0	0	0
2610528A11Rik	NM_001206684	0.0	0	0	0
Mir30c-2	NR_029717	0.0	0	0	0
Slc16a5	NM_001080934	0.0499310239814	6	13	0
Defa26	NM_001079933	0.0	0	0	0
Mrpl45	NM_025927	39.1784292581	3663	255	635
Smap1	NM_028534	11.9884837326	505	0	1
Fbxo18	NM_015792	17.7389546465	2496	396	97
Fbxo8	NM_015791	29.1537526742	3878	320	5
Pnpla6	NM_015801|NM_001122818	0.559495234062	99	24	14
Dkkl1	NM_015789	2.26007536458	80	57	0
Prdm16	NM_001177995|NM_027504	0.734000089418	247	0	0
Zmym3	NM_019831|NM_001177985|NM_001177988|NM_001177986|NM_001177987	5.66212999468	1169	428	14
Ccm2	NM_001190343|NM_146014|NM_001190344	0.0	0	1	0
Ccr6	NM_001190333|NM_009835|NM_001190335|NM_001190334|NM_001190337|NM_001190336|NM_001190338	0.0	0	0	0
Ube2r2	NM_026275	29.0994872607	3837	151	0
Rspry1	NM_026274	22.5416575207	3457	353	16
Csprs	NM_033616	0.0	0	0	0
Rnf41	NM_026259|NM_001164237	17.0484645931	2975	437	888
4931408C20Rik	NM_001033764	1.84176261653	318	0	0
LOC100302688	NM_001164374	0.0	0	0	0
Gm13363	NR_002688	0.0	0	0	0
4931428L18Rik	NR_033445	0.0	0	0	0
Mapk14	NM_011951|NM_001168508|NM_001168514|NM_001168513	6.56775752565	794	129	83
Gm4850	NR_015347	1152.31569284	40187	84	180
Khdrbs2	NM_133235	0.0	0	0	0
Gm9839	NM_001199956	0.0412831254742	1	0	0
Btnl3	NM_001111094	0.0	0	0	0
1700001G17Rik	NR_033199	33.6429132167	1172	1	652
Synj2	NM_001113352|NM_001113353|NM_001113351|NM_011523	1.50537250202	295	92	0
Tspyl4	NM_030203	13.2750225415	2055	1314	527
4930562C15Rik	NM_030192	0.0	0	0	0
Dopey2	NM_027293|NM_026700	0.0728956307243	13	2	19
Rbm42	NM_133693	117.727419692	7929	129	66
Manba	NM_027288	6.01968458743	881	399	0
Prpf6	NM_133701	3.57004632928	434	6	3
Dnajb4	NM_027287|NM_025926	6.01997203901	543	247	0
Cxxc5	NM_133687	0.0110847018787	1	0	0
Mosc2	NM_133684	13.8059124687	1031	897	343
Tmem19	NM_133683	0.150093164046	18	0	0
2810432D09Rik	NM_027278	0.304558934633	10	0	0
Ptcd3	NM_027275	70.5077878724	6070	413	291
Osgep	NM_133676	4.26631624216	226	189	12
Apitd1	NM_027263	236.279743394	8619	658	578
Tor1b	NM_133673	97.6249958159	11567	912	1992
Sult1a1	NM_133670	0.0	0	0	0
Zfp119b	NM_146249	0.0165074674943	1	0	1
Spred2	NM_033523	0.314727674434	34	0	12
Laptm4b	NM_033521	117.877140134	8373	113	56
Gm3448	NM_001123367	0.0	0	0	0
Zbtb40	NM_198248	0.024371508454	7	0	2
AA619741	NR_033627	46.8493192008	5020	608	0
Hist1h1d	NM_145713	0.00886232313115	1	0	0
Mtnr1b	NM_145712	0.0	0	0	0
Tox	NM_145711	1.11954715906	127	0	0
Nup43	NM_145706	177.999961242	9059	272	466
Tinf2	NM_145705	147.564682266	10104	1290	658
Usp44	NM_183199|NM_001206851	0.0	0	0	0
Serpinb9f	NM_183197	0.0	0	0	0
Marveld1	NM_183195	0.0738387906597	9	9	0
Reep3	NM_178606|NM_001204915	0.024153352579	5	13	0
Gsdmc3	NM_183194	1.05847066863	81	0	0
Scrt1	NM_130893	0.0	0	0	0
Rtn4ip1	NM_130892	0.00844852751315	1	4	0
Grip1	NM_133442|NM_130891|NM_028736	2.45224631759	305	36	0
Arid5a	NR_033310|NM_001172205|NM_001172206|NM_145996	35.3449520599	7818	923	815
Scn1a	NM_018733	0.0	0	0	0
